@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
7057,42722,325523
9367,74684,222822
4526,39874,214667
8323,97468,284000
507,98734,942622
8544,16140,229340
3577,13925,1057760
2058,30380,59487
5950,76899,154346
2406,96519,1387724
5222,31963,440220
3513,3798,30228
539,24684,1650507
2184,14874,139278
5412,38608,377707
5697,94620,689791
412,67722,35621
3956,11393,998087
3545,90823,191887
7753,62659,109770
9146,82595,731999
5349,95886,1368576
6171,19621,176930
634,13608,482911
919,99684,405459
8987,47785,295094
5981,46836,392487
2532,59494,40539
7595,7912,187200
8956,76583,56613
6140,42722,82845
3197,50317,638931
5918,9811,176642
5475,36709,298887
2627,23735,81543
7848,16773,175771
8576,55064,539019
5728,55380,376804
5001,27532,578707
602,34811,956876
7184,29431,64016
3861,18988,393492
3577,24684,220773
7532,7279,467933
8734,70253,226784
7943,67722,728960
2121,48102,1540267
9525,47152,194220
9747,51266,159449
9747,97152,1067172
2248,69937,141139
3387,59494,251840
64,48102,139139
3229,78798,159322
2975,22153,392594
5886,68355,290625
2279,25634,380834
8355,6647,33412
3988,13292,345399
3798,68355,16062
4842,42722,316671
7215,17722,327907
9525,63924,680862
9937,93038,61418
697,46836,43436
3323,81646,298302
2944,59494,198417
4937,51266,120070
7880,68671,182070
4336,97785,435705
4304,81329,289119
1425,50633,16179
4716,27532,1957
2279,43988,370898
1488,8229,134306
222,25001,95734
4621,86076,22726
2248,31646,29418
1836,88291,443293
2437,81962,204584
3260,65823,700768
887,5381,192984
4811,64874,208171
9114,74051,8712
982,37975,960130
4652,41773,711915
7405,75633,213568
5285,53798,298026
7880,67089,390403
254,68988,1148351
2786,82912,476649
6867,27216,656816
8608,12343,811232
982,950,25750
3545,50950,455068
5159,69621,100043
5380,92089,181463
4652,1900,73480
6804,76899,2234601
317,92722,787419
96,18988,127959
2532,87025,129515
1235,31646,275752
3988,32912,33274
1741,69937,294226
222,71203,2437398
2944,43988,9647
1235,68355,683515
4811,54114,2267897
8165,92405,539407
1615,38608,63451
3766,22469,98786
9304,13925,620203
8481,61393,135996
1615,69937,182443
824,31330,337974
1,35127,95
5285,93671,1327620
2279,85443,202627
2532,33545,370843
919,18988,844162
7247,64874,39122
7342,62659,153137
476,87342,222280
286,3798,2414
412,70570,2099303
4115,60760,958359
6298,9811,54671
1488,77532,101678
6646,36709,338805
2026,89241,106694
6203,30064,361121
6962,37659,661183
4811,32279,165269
286,1,1162
950,95253,273392
6361,63608,378695
6614,36393,144841
8861,41456,180635
6488,74684,188247
1014,65823,301377
4209,52216,410865
5538,82595,514617
6899,12026,266002
4083,84810,85542
5950,98101,2201754
