@relation HistogramEquilization

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1764,217,29677442
1828,2055,345674653
868,3463,266552495
3236,1664,474854577
6052,3541,2519200373
1892,3932,726363056
2468,2055,497471677
1828,1977,321394667
356,1078,25778513
5284,687,311158292
420,3893,122916829
4964,3228,1745336010
2980,3189,989969736
3812,687,221463362
2276,3150,701399312
6116,1234,696927010
868,1508,106579107
4004,726,252003554
3556,1312,511021038
4196,1156,438535326
612,3424,171364362
356,2446,61243731
292,1195,22776171
3236,413,118286967
3748,1899,703438327
5476,3424,2178220154
996,2211,188412269
356,3111,80149183
4900,765,309875461
100,2681,14210468
6372,843,470687482
4260,1117,409886692
5348,765,341582051
1508,647,70206265
3364,3619,1287108649
5412,2563,1476908111
484,2211,90950573
3812,2837,1084885241
6244,3111,2277683694
3044,3150,954358851
804,1742,113734254
6116,3697,2605640637
4580,413,159048269
3876,2602,1019025991
4196,1469,556215156
5668,2290,1379855029
1636,2993,465192202
548,1899,81471589
3300,2251,716981624
2980,413,99847867
5412,1390,711383551
5220,2329,1318526313
4452,2055,919214222
4836,1586,714584241
2660,413,79159696
4836,1508,705142229
5668,530,250746164
484,608,18355346
2596,3463,936519132
5156,1234,584808281
1444,1234,164024655
3620,1469,485079744
5796,765,388786359
3428,3971,1451427624
2148,2798,603228841
4580,1038,414747540
2148,2915,599052388
2980,2407,700049080
4836,1547,713555359
548,2759,113861654
4836,3815,2072780403
2724,178,31926499
5156,2251,1168449978
804,3736,315378893
1828,2759,454137441
548,1469,54860974
612,2681,133724782
6436,843,495831403
3556,1273,402834717
2084,3150,636582675
3812,2759,1095915838
868,3228,252381304
4708,1586,722864046
1508,374,67053840
2532,1351,294705455
2916,647,143974783
1316,3893,466961688
1508,1156,152905300
5284,3424,2078002194
3428,608,169853384
5796,1547,881058203
5028,3306,1795585453
4196,1390,516982856
1252,569,50907771
4196,3267,1501326094
4708,2172,1005060092
5796,1351,728964776
4260,2055,879752220
3428,999,281390219
1828,2524,450386259
4516,765,283516050
868,3697,302611945
1188,3815,405021756
676,3033,168688746
5476,1234,625373512
100,2798,14906615
2788,608,140439770
2212,1860,384448441
5348,3932,2312618427
3172,2563,784642371
3108,3463,1104790611
2852,1508,385862583
1316,413,48072266
1828,647,93775816
3108,647,165045427
3044,3775,1155345381
356,3619,97260338
228,3228,53026109
5092,2251,1202040071
5924,2681,1794621611
3428,765,223446362
2660,1781,433206473
2148,3971,841419151
1316,1038,120027289
5156,1195,591488736
4068,3541,1525230173
3620,765,228822808
6436,999,580661207
4644,1234,509151980
3620,2915,1086001862
3364,3189,1090764664
4836,2055,1080313898
1060,2876,279141784
3364,3736,1275271323
1892,2133,378677606
3556,1703,579068331
3556,843,255211243
3556,687,216987278
2724,843,179339897
2212,3932,866860013
420,3854,126695165
3236,3384,1156134187
4324,3893,1882281292
4388,296,98441796
5540,2954,1727463591
6052,687,364289173
3748,2759,1047593109
100,1078,6461312
5796,3502,2310179498
1380,2759,359457212
2020,3971,791806089
2724,1234,283929741
5668,374,155637482
1636,3971,640344604
5924,1351,755209592
1252,2642,299105547
1700,2954,486470593
4836,335,119343687
804,2368,168202590
548,530,20488411
420,3150,95691473
3364,765,212439311
4964,2094,1028073155
5668,3033,1869749077
5284,3384,1962561229
548,256,7367057
4324,1117,434910877
5220,2290,1261882165
6116,1429,858024962
1700,2485,397184823
4324,2642,1150087109
3684,2837,1110004330
2980,2329,658463765
420,2915,95579210
3620,1156,390586651
3492,1899,637192337
1060,1664,145108504
1956,2094,350574447
3812,1664,597441967
2724,1625,406644434
164,1195,10671490
932,2642,220247423
5156,2329,1283697518
1380,1390,175842150
100,765,3943798
4964,1899,920666177
4004,921,336182262
548,335,10425066
1124,3580,419691251
6244,2055,1421448843
3556,1117,364522903
3364,3384,1290065731
2916,1038,278890366
6436,2642,2074140311
2980,1586,448589366
3108,2876,992257746
484,1038,37393087
6052,2446,1661848345
868,2172,168071317
1316,1625,186212443
484,1703,64981136
5220,2759,1744801462
3428,3775,1492797138
3876,335,101623214
3044,178,51089783
4644,1078,458829193
100,374,2010561
