@relation RGBFilter

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1380,1117,53470276
2340,3893,284040842
4900,530,92971144
6308,2954,594977709
2340,1742,126016810
1636,1078,57375717
1380,3345,174384255
2980,3345,365134603
2340,1781,746873409
5988,3189,729642885
2212,608,45070913
3044,178,19815497
1700,491,29179068
164,413,4082004
4772,1390,226504199
5668,3580,674927259
4004,2720,403887747
6308,1899,388339730
5668,3619,721809591
164,3228,18951738
3556,374,41852569
5668,2563,471411760
4836,2485,468270265
4004,3424,445255985
804,2681,74840428
100,960,3807767
3044,2798,311346935
2468,1156,108609878
484,3228,47985745
6052,2876,598974696
3236,687,66231691
4964,1664,256019382
420,3111,50812731
4004,1078,139114485
5028,296,47799929
5220,491,102554330
3236,804,111065185
1252,3228,134683210
2020,2446,165434193
2788,2251,212057812
4964,569,93892537
3876,3580,463171379
3108,2993,293347667
4388,3893,525853660
1764,3854,211149633
6180,1078,260269931
5988,1429,277446175
1316,1390,68005706
292,2798,26112665
3492,3267,438019124
804,3736,94472255
3364,1234,135246197
3044,1703,181273570
4324,2211,317480861
612,647,11568072
4260,804,112939405
2980,217,22213356
3812,2563,307241850
4708,1390,274362605
484,2485,39844805
740,1312,29528433
484,1312,23514918
3236,2954,342180115
6244,2563,631389309
5028,726,368302081
740,2876,67024541
5348,2563,450615075
4964,3345,734529740
996,2485,96767150
6180,921,171435481
5796,2016,378626733
2724,2915,242223982
804,1234,33028175
3108,1547,171723472
1572,2368,128218242
4452,3424,502234316
1892,608,36635191
996,1038,41197288
1892,491,31979341
2724,647,59770950
2020,1820,117035294
5988,2251,449522159
2468,335,26944503
1828,2954,171331401
740,3033,67035008
1252,2094,89572240
292,3932,38003742
3108,1703,185856838
4772,2407,392658404
3748,765,88764451
3876,1156,138615033
5860,1820,342550127
1188,2602,92263197
5028,3228,519306937
2340,178,14102317
6244,1351,285317229
5348,2642,480004002
4196,1117,142934430
5924,608,108548149
6116,608,148951534
5860,217,43351270
2340,3775,279264182
5988,1312,247060917
4516,765,103837912
1380,1234,54136716
996,3815,114854508
3236,1586,153691719
5732,3033,678060432
4516,374,57161464
3748,3854,583850575
612,1351,28876409
1636,3502,189009876
3428,2681,287306932
5348,1781,327396968
3492,2211,236208225
676,569,11156881
4580,2094,307354070
676,3189,69730314
5284,1508,256344510
548,256,6459891
1060,3345,129304476
6116,3072,578375106
5412,1469,252111494
2148,843,55182092
3108,2290,230909568
612,2172,43956669
5860,882,160157114
5476,2407,419944488
4196,1899,287456831
484,256,5377452
5732,1078,264561919
4964,3775,649965877
3428,3306,403945337
4964,1820,303425044
2148,1273,84187388
6308,1820,735636444
1700,3580,199275807
1572,2759,164188189
5092,3463,1138017612
2468,2446,214899257
1124,1078,45902675
2020,1195,94757940
4836,687,107482819
6308,3541,695647498
6116,1508,323100083
2724,2368,230659615
356,569,6652331
5284,217,38930985
5412,1312,281594164
2724,2016,182517912
420,1820,25758296
356,3697,53711060
2404,2720,220963367
1956,1508,95711494
5284,726,139921935
4516,3072,467458166
100,2485,7226971
2788,647,63134459
164,882,4223602
1188,100,3381896
5796,608,121541917
2468,3775,299022151
5476,256,48981614
6436,3893,922104229
420,217,2875426
1060,1273,44780420
612,2407,57941445
5412,1860,355208012
2468,2759,231042335
228,530,4647279
2788,3150,289012190
3428,1703,192733161
1124,1899,65863600
4516,3267,475810887
5348,3150,649401282
5540,1469,256671244
868,2602,68992376
5668,2485,432448748
2916,1820,168046189
2532,2602,206470484
484,2720,47610803
3620,1273,179986763
4196,100,14069200
1124,2251,77894604
5668,1664,299373660
612,2954,56011765
5412,608,114807932
164,843,4499475
4772,3306,570939817
2916,2524,286594173
2276,608,44240602
1060,374,13211360
6244,217,43938393
6052,2133,430526285
6372,647,171972589
6372,960,292806160
4324,530,79491251
5988,2133,400859196
5412,1664,306235192
1060,2759,99675514
1828,1586,87607662
4068,3658,577363752
228,3541,25911096
548,2172,36050882
5668,3111,566263994
868,3815,108814711
100,2642,10107624
4324,1312,203058303
6372,1351,276288026
3108,1078,116498697
5348,530,85931669
3940,1625,203889710
5796,217,48656011
2532,1625,164367641
4580,3463,529241787
2724,178,18663168
3428,3072,351981225
3812,3228,425862590
5732,374,85832749
1892,3189,207241409
740,999,21550584
2020,139,8903858
5412,3111,672078030
2852,2681,258497099
1572,3424,182775030
548,3658,71351444
3940,2211,375227623
1572,2993,189145077
1828,804,54752910
932,765,22879709
1508,100,44629278
5284,3267,548062686
2660,1860,228637201
996,1390,342340963
