@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
20,11,428354
28,11,336906
21,9,81189
23,11,350597
29,10,200544
13,11,336588
26,11,353681
10,9,116178
29,9,78934
8,11,338349
6,10,192997
6,10,198852
4,10,155440
19,10,172215
17,10,137023
16,9,66727
28,10,159898
28,11,401062
17,10,174256
24,10,328139
14,9,77889
15,9,99243
6,10,202717
10,11,340663
18,11,332065
26,11,340422
29,10,173240
12,9,76987
16,10,214573
28,9,119978
13,11,340513
23,10,135674
6,9,114107
18,10,134458
5,9,79688
14,10,184285
20,11,333814
26,11,337234
19,10,168986
24,10,361611
12,9,156142
28,9,110398
16,10,148709
9,10,134538
21,10,170504
29,9,90094
17,10,174858
22,10,166384
12,9,179118
11,9,167487
28,10,200892
19,11,340189
26,10,313165
18,9,118106
11,10,163400
28,9,70366
16,9,73187
13,11,335547
18,11,340840
24,10,181601
4,10,187125
15,9,128000
1,10,189879
23,9,117884
10,11,366531
13,11,349495
25,11,382993
21,9,153346
27,11,388593
25,10,168177
27,9,71823
26,10,157904
2,10,175457
28,10,143504
0,10,168915
2,11,334648
11,9,72532
25,10,171451
17,11,365893
24,9,94823
0,11,386802
9,10,171463
6,10,233849
17,9,130233
26,9,122600
23,9,110847
3,10,218586
26,10,195752
2,11,347867
19,11,345798
20,10,210088
5,9,130221
25,11,326073
20,9,67907
10,10,163233
14,10,189926
12,9,110405
14,10,167043
13,9,81089
28,10,134325
26,10,137253
12,10,190960
15,11,358004
6,10,203642
25,10,172271
13,11,331305
29,9,126226
28,11,336675
0,11,330699
9,11,334236
18,9,85669
4,11,341193
9,10,164994
8,11,333517
17,11,399891
4,11,498631
13,10,239446
28,10,179230
7,10,140494
14,10,192168
30,10,175514
4,10,286648
13,10,179908
24,9,76118
12,10,171397
23,10,180210
0,10,177440
14,10,164293
17,9,146524
21,10,151795
9,10,173719
24,10,188162
21,9,120230
20,11,336542
16,9,180511
24,10,179077
23,9,87847
11,9,92237
10,10,171417
