@relation RSADecryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
27,11,7192853
24,11,7224987
2,10,1329611
28,10,1349739
13,10,1310790
25,10,1311730
15,10,1293382
25,11,7078369
13,10,1978993
8,9,334885
24,11,6972068
0,11,8390979
7,10,1472930
5,10,1869203
17,11,7050203
18,11,7010536
26,11,7084543
9,10,1342973
8,10,1339199
4,9,320381
22,11,7055947
14,9,323014
26,10,1313474
5,9,333321
16,11,7011682
0,11,6999401
7,10,1438918
17,9,362454
1,11,6913788
21,9,335465
3,11,7142782
18,10,1330733
16,9,336970
3,11,7791831
7,10,1317128
6,10,1311307
24,10,1307375
4,11,7667682
26,9,326612
3,10,1327408
4,9,335231
4,10,1328462
13,10,1312255
29,10,1307031
15,10,1304784
11,11,7801508
26,9,345811
22,10,1339275
25,11,7144577
8,11,6978290
4,9,330453
11,10,1310496
28,9,328667
10,10,1316722
21,9,343615
17,9,326983
8,11,7036882
21,10,1310206
12,11,6994161
6,10,1318775
1,11,6993128
5,9,330868
26,10,1302699
20,9,324339
5,10,1305865
22,9,322257
28,10,1329321
22,9,333021
25,10,1340077
24,9,321938
12,9,323301
6,10,1309336
4,11,8653774
9,9,333681
6,10,1321562
3,10,1315985
26,11,8856425
17,9,343295
16,10,1300369
14,10,1326004
27,10,1329785
3,10,1311851
28,11,7137282
18,11,7046188
17,9,328509
26,10,1330820
1,9,331340
23,11,6947256
10,11,7137434
17,11,7046612
5,9,321516
18,11,6922683
7,11,6971402
7,9,348962
11,10,1327400
14,9,331359
29,10,1325487
16,10,1325575
26,11,7023658
21,9,334367
29,10,1328936
11,11,7017104
18,10,1316262
24,10,1986487
2,10,1328384
7,11,6945024
30,10,2518963
8,10,1316871
15,10,1336159
22,9,333710
0,11,6952744
24,10,1322564
26,9,338503
25,10,1313214
20,10,1314195
22,9,330319
3,10,1367360
12,11,6937861
25,11,7094337
4,9,336922
7,9,333274
19,10,1324576
20,9,322609
27,11,8378796
25,10,1439071
16,10,1323307
12,9,380532
21,10,1329625
6,11,7023556
20,10,2005406
28,10,1343052
18,10,1330200
20,9,321937
21,9,337726
8,11,7086631
16,9,330521
19,9,328371
19,11,7064958
21,9,336325
28,11,7035941
2,10,1346666
22,9,329569
13,10,1319794
3,9,332293
17,9,329506
14,10,1298455
9,10,1315510
27,9,326914
30,10,1339081
18,10,1297358
6,10,1330910
10,10,1325344
20,10,1331721
18,9,345072
29,10,1329266
19,10,1312923
20,9,325833
4,11,7044466
29,9,333968
3,10,1333444
1,10,1309196
30,11,6935861
17,11,6977984
10,10,1343483
14,9,319176
27,9,326768
10,10,1349968
2,11,7952550
1,9,446400
4,11,7024052
11,11,6992433
15,9,321902
15,11,6990729
27,11,7018608
11,9,331312
13,11,7063919
17,11,7009872
17,11,7127788
10,10,1447179
24,10,1301863
5,10,1317658
16,10,1814409
10,9,341524
6,9,328313
21,10,1311103
14,10,1316087
1,10,1324251
14,10,1299489
22,11,7012420
1,11,7073556
8,9,336264
15,9,327403
14,9,324229
10,11,7024674
5,9,327083
8,10,1309648
15,10,1327187
12,9,356037
11,9,323424
24,9,336878
3,10,1457373
27,9,382336
19,10,1406325
28,11,7025824
2,10,1323273
1,10,1325859
10,9,333323
28,11,7037496
22,10,1355352
16,9,322829
8,9,335994
14,9,325037
0,11,7468553
11,10,1421024
12,10,1335473
27,9,329199
27,10,1314070
9,10,1334163
2,9,331470
21,10,1308356
11,10,1293637
23,11,9465444
20,10,1302624
14,9,329944
20,11,7014554
8,10,2551184
25,10,1332761
17,9,329682
26,10,1309083
23,10,1329445
25,10,1341028
24,9,341178
17,10,1325391
9,9,328415
20,10,1322719
9,10,1434051
1,9,364560
28,11,6931446
14,10,1316398
11,9,325351
4,10,1342691
