@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
2262,163822
794,50675
7030,599651
2352,175706
8551,751193
6507,557249
9740,864766
3703,297097
2906,227086
855,57988
426,26575
4958,404818
6631,556501
7289,633802
5442,452071
197,10323
3200,247874
4686,384019
8559,706188
3690,229247
823,41771
8852,652927
9309,1185194
4858,447680
7860,693187
458,29146
3325,263135
8556,857634
619,39854
9088,901626
4263,354039
6177,476692
6942,547175
5931,480346
4654,354071
5654,921543
7190,755087
9161,808248
5169,420006
5899,473467
6759,588589
1360,95726
6445,819153
4932,408266
2775,268174
2280,170186
3028,235216
9185,826387
9565,824712
9388,791706
3255,237719
4155,306011
3108,229261
2153,156319
6960,659922
609,40780
2056,186147
8789,979853
1275,148362
3859,315931
8382,784545
5669,623248
7374,1122437
3957,305982
1905,139675
2992,224349
7872,979812
5317,461078
3659,264831
4896,387184
9846,871320
4935,412073
4462,371470
2814,215513
7324,592361
594,37981
9120,772634
9835,861655
5614,450022
1754,125643
8636,714388
6900,644764
3724,447102
1179,78287
1745,119950
1965,153608
8553,700706
4530,690394
3675,307062
4605,338994
5678,486244
5590,467224
9626,868154
1313,93285
7066,608097
1926,141667
7933,723678
3354,292404
9237,834871
5051,397807
9487,857990
7066,611222
7058,611055
5832,487640
5319,492938
1472,104793
471,27250
5162,395586
8070,1465593
9489,844695
6495,614967
7440,634498
8624,1104690
4945,407645
5740,484691
3096,244348
1855,123509
8254,778477
2126,156302
7395,671700
9134,803327
7597,726908
4735,5309840
6616,2854115
9586,956267
947,61081
5371,412912
6528,796683
4717,384939
1346,94845
1133,77385
3637,287577
4710,379247
373,22444
922,58916
4215,567552
3656,335834
1062,67776
2907,784390
964,63905
3539,355626
894,56371
1722,117895
5461,427798
3704,993174
1127,79755
9353,848386
4731,397797
7901,1428983
3236,254870
6091,511157
1875,125129
2819,210393
3014,4066496
3165,235511
5704,537699
9182,903312
294,19730
2967,218794
2830,209904
4607,394460
1311,93010
4201,346774
4909,406909
6170,525170
8028,923310
7802,662012
8805,795218
9821,1419726
8312,680018
3345,249258
3958,304439
9892,1231599
6304,549328
5964,506505
333,21368
1311,92263
8965,788792
2615,200833
1106,75743
3996,323969
3888,317134
2113,160976
3179,255949
5597,481814
8574,825105
2100,159421
3897,254095
6761,449982
9649,905668
1984,114646
491,23952
9491,687947
5283,335263
3982,244911
2418,140409
9062,830052
2353,176177
3404,273666
9665,665445
9809,819017
8128,662188
1559,108708
4153,306317
7344,599550
4121,307955
4457,303601
214,8304
9283,662753
4191,263201
4417,406346
8285,588738
255,11033
1645,91508
1870,105002
3686,240002
2776,171996
2934,182261
765,39523
6926,700301
772,49730
6591,541183
4436,346888
7837,803989
6645,546719
4393,328075
7846,639496
8791,745262
8797,734525
4153,318476
4078,320966
7275,594748
1595,211493
3199,242247
8257,695992
4730,362543
2575,194987
7011,571704
7659,650245
2013,138176
878,56884
9382,811824
9490,819447
2543,188625
2896,222211
7826,597508
7351,499239
3115,221753
7708,675046
6069,517551
8188,799473
9747,847543
822,52582
8788,866212
1389,92345
1545,104818
1301,88253
722,45585
2949,257273
5820,468955
8073,667320
5261,429203
8944,771726
7491,629434
4795,381825
7507,628108
9509,951464
8676,765615
2646,197909
3178,243674
5,257
3440,252743
9097,770238
178,9021
5394,433226
7478,661288
4093,335713
5685,469527
8709,762666
6744,551505
3269,254441
9627,799717
9991,847051
1385,93256
1536,104787
3303,249414
4458,345414
8887,939956
4638,466994
9354,776226
6591,597139
5403,422815
5615,431527
697,40793
216,10238
3864,292219
3982,302241
6512,530388
4244,333849
6108,491091
5176,405857
3780,290018
9542,802077
7206,585729
7009,599067
246,13368
3033,232161
9549,1413130
2388,591798
8290,814017
6137,488949
5234,408836
4378,339826
5645,441333
1770,120691
1088,71204
434,25311
8485,704458
7951,657723
7586,650475
8131,720513
6065,562667
2113,154458
3637,272658
1555,108373
5430,446679
4080,315216
4975,388018
701,43727
5890,1916337
7575,638844
8524,761820
2474,177840
1418,100298
1546,107582
9749,831909
4637,377368
8850,739036
3896,306180
561,36019
3256,248084
9236,810886
9434,782333
577,37218
1253,87946
2138,151840
2317,178368
937,60511
2024,138994
2280,158456
9774,869116
7326,541553
3363,202436
7047,475790
7618,725795
5255,393750
9803,683978
2885,185142
471,23334
1454,80177
9239,635143
5085,403891
9012,695797
7156,499145
