@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
37,1,181
30,2,5529980
7,2,327
1,1,151
39,2,437442176
12,0,477
5,0,82
26,0,163
13,1,3971
20,2,41843
3,2,92
24,1,314
11,1,392
5,1,317
12,0,118
2,2,129
30,1,294
35,1,391
11,0,100
38,1,229
8,1,186
22,2,109044
7,1,183
30,1,229
15,0,147
2,1,389
28,0,184
38,1,125
5,1,128
19,0,139
35,1,123
27,1,222
15,0,120
19,0,154
10,2,484
9,2,320
4,1,235
18,1,232
1,1,77
17,1,141
25,1,185
31,2,9061640
39,1,3422
30,1,414
15,2,4248
10,1,428
35,0,480
18,0,139
13,1,385
20,1,218
12,0,121
36,0,214
36,2,107274370
24,2,285602
27,1,3926
32,1,359
25,2,461390
32,2,14191080
3,1,5344
32,0,511
34,1,395
6,2,508
35,1,194
21,1,416
26,1,281
27,1,303
11,1,1159
25,1,121
7,1,184
24,1,165
23,1,177
6,1,123
16,0,156
4,1,239
25,1,128
32,0,207
17,1,173
27,1,121
19,1,228
40,0,222
19,1,122
27,1,120
33,2,25281081
18,1,3766
21,1,185
23,1,288
13,1,327
17,1,127
19,1,187
7,1,323
33,1,302
15,1,286
25,2,578260
10,1,946
23,1,145
37,1,312
30,1,186
31,2,8875145
25,1,4368
17,0,400
26,2,804110
2,1,559
35,1,448
19,0,179
6,1,311
30,0,193
9,1,197
6,0,99
33,1,194
11,0,122
1,2,86
18,2,17284
39,0,244
24,1,318
19,0,162
20,2,44966
35,1,147
25,1,137
13,0,119
25,1,138
15,1,299
33,2,22962341
12,2,1179
38,2,289496098
34,0,632
3,0,80
25,1,4016
4,2,290
31,1,407
4,0,88
23,1,518
10,2,528
7,0,112
33,2,25232816
4,1,4322
27,0,449
32,0,196
18,2,17677
15,1,408
2,1,424
18,0,145
32,2,14213504
13,0,342
22,0,176
2,2,166
7,1,3301
23,2,176364
34,2,40268975
12,0,486
13,0,114
28,1,4732
28,1,152
13,2,1864
8,1,935
2,1,739
4,1,193
21,2,72752
10,2,447
9,0,146
11,1,266
30,0,208
6,0,83
2,1,148
20,0,179
30,2,5259091
7,1,819
25,1,306
23,2,176400
20,1,197
38,1,371
12,1,185
5,1,121
37,1,187
20,2,41740
20,1,270
6,0,118
36,0,214
16,1,189
21,1,187
3,0,85
5,0,90
11,2,665
11,1,191
15,1,342
5,0,92
36,1,200
27,1,196
7,1,123
18,1,221
28,1,124
10,0,101
33,1,185
3,1,143
27,1,231
26,1,135
35,1,202
13,0,137
34,2,37802082
20,2,41846
21,1,3875
15,2,3854
9,0,354
11,1,432
18,0,180
35,2,66009403
33,1,4295
19,2,26263
6,0,367
13,1,465
9,0,99
38,1,304
3,0,74
20,0,150
33,2,24791224
6,2,948
24,2,334079
40,0,2443
21,0,168
19,1,8209
21,1,398
22,2,111965
27,2,1304590
22,2,110947
12,1,6958
9,0,601
40,1,520
37,2,173942495
1,1,960
1,2,144
1,0,271
4,1,3582
8,0,164
5,1,154
38,2,280849858
27,0,540
7,1,4420
6,0,89
8,1,275
14,2,2679
37,2,168846341
3,0,431
16,1,4392
13,2,1804
38,1,527
24,1,293
39,1,122
6,0,140
12,1,264
5,0,89
23,1,212
20,1,234
21,0,161
15,0,125
4,1,398
2,1,407
10,2,490
6,2,156
36,1,282
34,1,183
14,1,228
27,1,288
38,2,275262954
35,1,4804
30,0,561
3,1,656
27,1,552
16,1,224
23,0,150
26,1,299
34,1,170
19,1,244
31,1,166
33,0,201
