@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
5,0,136
8,0,54
22,1,797
10,2,511
1,2,47
1,0,64
30,1,293
9,0,58
26,1,338
2,0,43
1,1,65
32,2,14899694
16,1,872
8,1,370
3,1,312
17,1,118
20,2,106997
13,2,1718
32,0,102
6,0,53
29,2,3338421
6,2,208
19,1,454
36,0,92
40,2,722379850
24,1,944
34,0,106
35,2,65843573
22,1,871
5,1,411
40,1,347
35,0,106
23,1,122
34,0,62
24,2,308321
25,2,528573
29,1,406
25,2,461785
21,2,67506
4,1,288
5,1,91
17,1,283
4,2,132
10,0,96
5,1,158
29,1,59
29,0,67
15,2,3856
36,1,263
30,1,179
36,0,67
12,0,49
31,1,66
40,1,77
27,1,216
16,1,129
40,1,53
34,1,131
7,1,110
35,1,51
10,1,236
27,2,1216083
12,1,114
1,1,55
38,2,271456051
5,1,2031
8,0,96
17,0,42
8,0,43
1,1,61
8,2,298
23,0,59
21,2,67452
36,0,48
7,1,325
5,0,44
7,1,64
28,2,2109032
22,2,119600
25,1,362
20,1,203
21,1,62
4,2,119
7,1,155
34,2,37754056
6,2,252
22,1,792
21,1,228
30,2,5262838
4,2,159
28,0,93
36,2,99613683
10,1,953
23,1,417
5,1,212
1,1,61
9,1,220
35,0,107
5,1,58
15,1,223
9,0,67
3,2,9047
29,1,777
23,2,199620
5,0,61
8,0,47
38,0,47
38,1,271
28,1,147
10,1,62
12,1,134
8,2,263
3,2,95
10,1,66
29,1,57
36,0,59
26,2,785248
24,0,51
21,1,208
18,2,15952
8,0,67
38,0,49
13,1,140
7,2,171
28,2,1956321
16,0,43
4,1,131
10,1,63
11,1,138
15,2,3837
8,2,200
36,1,75
14,2,2388
23,2,176279
26,1,65
34,0,50
38,2,270294328
28,2,2034310
4,1,782
28,1,385
19,2,25832
10,2,419
10,1,244
1,0,75
24,1,271
2,1,269
3,1,55
30,1,194
6,1,209
30,0,82
21,1,222
37,1,253
7,1,110
20,1,532
11,1,131
16,1,128
28,0,52
28,1,56
21,1,54
26,1,52
10,0,71
31,1,55
10,1,51
37,1,52
2,1,62
11,1,52
19,2,25808
20,1,52
8,1,58
7,1,58
7,2,192
35,0,64
39,1,179
31,0,50
8,1,52
9,1,51
12,0,49
36,1,132
16,0,50
27,1,53
14,2,2412
34,1,135
4,2,118
13,1,129
18,1,122
32,2,14691981
20,2,41778
20,1,733
13,0,96
26,1,175
31,2,9420644
34,1,1170
16,2,6771
5,1,672
8,1,234
20,0,110
23,0,74
7,0,48
32,0,45
33,1,342
32,0,51
30,1,215
36,2,104886546
32,0,132
9,2,383
22,1,792
38,0,63
34,1,334
21,1,219
21,1,53
21,1,76
36,0,48
8,1,311
9,0,50
31,2,8768957
26,0,114
1,1,70
34,2,39067248
31,1,1243
3,1,638
30,1,330
15,0,173
9,1,384
31,1,92
21,1,314
13,0,93
25,2,535688
26,1,178
36,1,337
11,1,146
29,2,3603605
12,0,137
38,1,838
5,1,365
14,0,67
32,1,342
15,1,273
12,1,216
6,1,53
39,1,54
33,1,62
34,0,59
30,0,53
36,1,255
11,2,735
2,0,49
33,2,25436839
30,2,6285234
30,1,1737
15,1,425
29,0,101
3,2,168
30,1,70
17,0,51
3,0,43
7,2,237
17,2,10035
23,0,53
27,2,1238799
25,1,238
16,0,59
25,1,69
28,1,220
21,0,55
15,0,53
36,1,329
27,1,60
37,2,168297545
12,2,1156
30,1,866
10,1,419
17,1,269
30,1,59
27,1,188
37,2,173557961
27,2,1303933
16,0,114
35,0,51
27,1,1255
27,0,47
9,1,434
29,1,199
10,1,138
1,0,66
32,0,67
36,2,103735435
13,1,828
28,0,88
32,0,54
38,1,398
38,1,82
9,0,50
33,2,24097258
38,2,278358961
7,0,138
37,0,52
18,1,833
5,0,53
9,0,44
29,1,289
16,1,257
25,1,195
31,1,108
9,2,387
21,2,67392
33,1,135
3,1,400
5,0,62
7,2,176
14,1,180
11,1,219
9,2,300
26,1,62
29,2,3241062
6,1,446
17,0,91
13,2,1612
39,0,53
15,1,183
4,2,126
23,0,46
17,1,74
39,1,273
31,2,9709223
35,1,938
10,1,429
38,2,275419815
33,1,840
23,1,351
23,1,52
29,1,213
9,2,381
15,0,86
17,1,272
13,0,50
3,1,407
22,1,60
31,0,44
27,1,126
21,2,67424
13,1,136
1,2,56
6,0,61
2,1,58
40,0,52
14,1,51
24,1,60
38,0,44
37,1,245
38,2,279029989
31,0,168
26,2,784929
22,1,794
39,0,68
37,1,357
2,1,355
31,1,190
8,1,253
17,1,209
19,1,55
9,2,327
6,0,56
24,1,59
3,1,116
34,2,38027440
27,2,1247369
22,1,828
29,1,329
35,1,244
18,1,187
28,1,143
12,0,100
33,0,54
3,0,46
21,0,47
20,2,45058
7,1,400
16,1,120
34,1,115
32,0,57
21,0,63
34,2,38260462
20,1,837
34,0,98
15,1,317
31,0,51
27,2,1262160
15,1,102
20,0,43
34,2,39798928
13,1,858
5,1,326
34,0,102
27,0,44
28,1,379
31,0,45
15,2,3917
22,2,109031
22,1,217
25,1,61
19,0,66
18,1,197
10,1,242
10,0,58
7,1,130
14,1,127
25,2,461499
13,1,53
23,1,54
3,1,291
4,0,48
9,0,54
33,2,22659063
32,2,17644848
22,1,925
20,0,94
35,2,65132702
17,1,806
2,0,106
26,0,50
4,0,47
26,1,307
39,1,370
21,1,187
32,1,266
6,0,52
11,0,50
13,0,44
26,2,747566
29,2,3429767
15,1,689
8,2,253
21,1,306
37,0,56
9,0,42
17,1,159
27,2,1231350
19,2,26115
4,1,1094
9,1,202
16,2,6168
34,2,40033858
38,0,138
26,2,746541
2,2,77
5,0,45
6,1,823
4,1,201
2,1,246
19,1,323
4,2,151
7,1,143
18,1,52
9,1,186
31,0,52
33,2,27061132
20,1,1145
11,2,851
8,0,96
26,0,45
17,1,318
11,2,678
33,0,47
1,0,57
5,0,51
35,1,513
26,1,231
21,0,56
17,1,55
16,1,223
30,1,260
1,0,74
16,0,49
15,1,323
24,1,267
2,2,85
16,0,45
3,1,529
20,2,80237
12,1,253
23,1,174
37,0,58
18,2,21128
32,2,15445962
33,2,23714064
35,1,800
20,1,344
2,1,368
7,1,258
38,2,264043140
8,2,394
14,1,924
29,2,5031379
39,1,1052
33,1,423
35,1,285
7,1,401
33,2,23783406
33,0,271
3,2,354
10,1,1452
1,2,51
14,1,383
39,1,488
17,1,146
35,1,305
20,0,62
24,2,307605
23,1,361
1,1,62
9,1,214
16,2,6665
4,1,363
5,2,139
13,1,58
27,2,1315177
3,2,85
19,1,214
12,2,1040
14,1,68
28,0,77
16,2,6628
30,0,62
3,2,71
33,1,203
15,1,251
39,0,51
18,2,17203
10,1,146
7,2,172
26,0,46
13,0,53
14,1,71
25,2,496826
12,0,53
4,0,46
24,1,72
5,2,79
24,0,60
9,0,48
31,1,137
1,2,53
22,2,117376
20,1,63
7,1,150
39,1,81
4,1,71
10,1,58
11,1,143
24,2,332423
13,1,145
37,0,58
17,2,10676
35,1,86
4,2,114
3,1,316
25,1,81
14,0,60
8,2,247
30,0,58
10,0,58
32,2,13999786
28,0,127
20,0,56
32,1,1354
8,0,43
35,0,44
29,2,5863564
4,0,139
18,1,844
39,1,370
35,1,227
19,1,138
36,1,52
3,0,60
36,1,61
21,0,51
23,0,45
9,1,260
36,1,62
15,1,201
38,1,345
29,0,58
32,1,203
34,0,44
31,1,53
26,2,746558
39,0,49
11,0,49
5,2,159
33,2,22701000
29,2,3229611
26,0,89
36,1,731
2,1,750
20,0,72
25,2,461355
1,2,68
37,1,59
21,2,67374
23,0,60
29,1,164
24,0,50
39,1,152
23,1,317
8,2,238
18,0,52
4,1,219
15,2,3839
38,0,49
27,0,46
36,0,48
32,0,52
33,2,23291894
21,1,1293
39,1,351
13,1,268
4,2,210
14,0,102
37,0,56
31,1,206
25,2,461385
22,2,108966
35,1,220
26,1,130
27,0,50
5,1,290
9,1,194
25,1,192
39,2,443234972
33,0,275
20,0,106
19,1,1187
25,1,304
30,0,85
11,1,511
39,2,450681377
20,1,840
27,1,281
39,1,326
4,1,309
1,2,80
25,1,195
32,0,89
40,0,45
34,2,37025535
6,1,832
19,2,25864
4,2,135
32,0,95
27,1,439
35,0,43
12,1,215
20,1,207
24,1,188
24,2,285202
26,1,53
2,1,276
38,0,57
38,0,52
23,1,117
37,0,46
8,1,129
9,2,307
13,0,49
35,1,357
28,0,43
3,1,134
32,1,295
8,1,60
23,0,56
15,1,198
21,1,60
2,1,60
36,1,53
20,0,49
22,0,45
17,2,9902
23,0,52
24,0,50
7,0,62
12,2,990
39,1,212
13,2,1524
12,0,51
4,1,58
7,1,141
25,1,54
5,0,43
10,1,118
27,0,48
31,2,9006206
21,0,121
4,1,866
13,0,62
6,2,244
2,1,365
37,1,355
40,1,223
31,1,242
37,1,82
13,1,249
28,0,67
33,0,53
11,0,52
17,2,10712
37,1,71
25,1,188
2,0,53
18,1,154
21,2,72605
28,2,2060159
28,1,288
36,0,56
9,2,299
16,2,6157
17,2,9873
29,1,51
5,1,210
29,0,49
35,1,156
16,1,140
38,0,43
9,2,263
13,0,50
36,1,60
23,1,176
10,2,439
35,0,50
35,1,53
19,0,63
25,1,65
9,0,48
25,2,461390
11,1,343
39,0,50
27,1,60
24,2,285168
40,1,72
13,1,63
26,2,746456
33,1,74
34,1,51
30,0,50
38,1,118
25,2,461301
8,0,51
28,0,56
16,1,50
26,1,51
38,1,72
13,1,55
16,1,58
9,1,110
25,0,48
32,1,59
10,1,69
26,0,50
26,1,53
29,1,61
3,2,103
28,0,44
37,2,170156649
34,1,842
35,1,192
30,1,213
13,1,303
2,1,313
31,2,9474438
34,1,735
15,1,372
26,0,100
36,2,105896099
10,1,1001
17,2,10732
29,2,3354801
33,0,98
19,1,441
1,1,65
37,1,357
21,1,57
28,1,248
13,1,210
28,1,50
18,1,53
18,0,53
9,1,144
14,0,52
24,0,50
22,1,215
14,2,2447
39,2,449011693
13,1,886
38,1,352
22,1,230
32,1,290
37,1,115
29,1,190
11,2,742
24,1,53
19,1,262
23,2,176323
26,0,91
13,2,1529
12,1,194
22,2,108970
8,0,60
25,2,461356
5,1,533
18,1,60
25,0,64
18,2,15965
3,0,49
24,1,64
25,0,49
14,1,126
2,0,48
4,1,107
7,2,183
12,0,49
34,2,41292778
15,1,798
26,0,79
23,2,176335
6,0,49
10,1,432
29,1,303
21,2,67403
7,0,49
28,0,43
12,1,139
38,1,265
20,2,41714
18,0,43
16,0,42
17,2,9891
31,2,9255784
6,0,119
11,1,848
12,1,265
8,0,69
27,0,50
38,2,274634716
21,1,922
34,0,109
19,0,60
25,1,248
22,2,117548
25,0,56
26,0,50
29,0,67
39,0,48
38,1,432
15,0,48
32,1,291
3,1,461
6,1,260
29,1,234
39,0,55
10,2,496
37,1,197
32,0,55
5,0,45
30,1,68
34,1,52
35,1,140
37,0,46
30,1,63
15,1,434
10,2,440
5,1,120
14,0,45
30,0,50
24,2,309482
7,2,285
9,1,294
25,2,513774
11,1,938
33,2,24650315
22,0,130
7,1,853
14,2,2643
4,2,122
32,1,429
27,2,1334127
12,2,1078
11,0,65
33,2,26989986
17,1,1314
1,0,81
36,0,90
10,0,42
11,1,357
6,1,219
33,1,324
17,0,54
6,1,54
15,1,243
27,1,210
31,1,140
4,1,222
5,0,51
6,1,53
25,1,609
26,1,53
19,2,25900
32,1,53
31,1,52
23,1,167
27,0,45
24,1,54
13,1,139
34,1,182
26,1,51
33,1,59
12,2,994
8,1,132
2,1,269
27,1,53
39,1,204
35,1,134
19,2,25790
2,1,57
29,0,56
15,2,3844
19,2,25765
34,2,42840677
7,1,885
39,2,447897675
27,1,873
4,1,404
21,0,106
26,1,79
10,1,223
30,1,224
20,0,51
18,2,16054
21,0,48
19,2,25785
24,1,212
32,1,134
27,1,52
35,0,57
27,0,51
32,1,62
28,2,2021737
1,1,71
29,0,53
31,1,137
10,2,471
34,1,198
6,1,225
18,0,55
17,1,218
38,2,268829451
11,2,738
10,1,999
20,2,41685
13,1,312
12,1,135
32,1,446
1,1,59
31,1,66
3,1,385
35,1,329
38,1,206
24,1,254
12,0,105
4,2,103
4,1,52
3,1,61
8,0,43
7,2,171
25,0,64
17,1,141
34,2,39639425
13,1,885
6,2,231
9,1,398
31,0,94
36,1,512
39,0,49
17,2,9947
30,2,5418451
25,2,461418
20,0,86
7,2,196
19,2,25779
15,0,59
33,1,958
24,0,64
12,0,49
18,2,15988
9,2,295
6,2,156
13,1,222
14,1,140
18,2,15940
4,1,225
12,0,50
39,1,218
8,1,226
13,1,61
13,1,52
15,1,206
38,1,128
20,0,50
38,1,59
1,1,58
36,2,102250603
26,2,746630
11,1,840
30,2,5319922
18,1,561
25,2,461513
37,1,378
4,1,207
8,1,187
38,1,195
20,1,111
11,0,105
4,1,56
3,1,703
8,0,49
9,0,49
23,2,176337
24,0,49
22,1,133
11,2,630
37,1,62
35,0,48
15,0,48
31,2,8377959
4,1,164
3,1,76
20,1,78
2,1,52
17,1,205
11,1,72
5,0,61
35,1,156
22,0,49
30,0,43
13,1,62
39,1,78
36,1,51
2,2,83
32,1,191
19,2,25840
31,0,49
39,2,436278331
25,1,817
25,0,89
19,0,45
30,0,43
4,0,44
30,0,44
13,2,1695
15,0,44
34,1,329
39,1,212
17,1,290
16,0,50
2,0,50
1,1,60
29,1,252
27,0,43
20,1,167
5,2,163
23,1,535
34,1,61
30,1,157
6,1,313
40,0,53
33,0,51
17,1,54
28,1,132
24,1,62
1,1,55
14,1,207
11,0,120
26,1,57
37,0,50
3,1,343
5,1,64
12,0,43
14,1,51
21,1,60
34,1,52
29,1,60
32,1,178
9,0,43
37,1,112
5,1,52
39,1,59
35,1,51
20,0,51
14,2,2496
12,1,224
39,1,54
1,0,73
32,2,15135259
14,1,1042
2,1,354
18,1,296
33,0,106
32,1,358
11,1,264
16,1,118
10,0,56
35,1,557
30,1,208
12,0,125
30,1,67
37,2,165060638
38,1,726
15,1,412
12,2,1059
14,2,2413
8,2,213
31,1,248
15,2,3845
6,1,295
26,1,131
26,2,746453
38,2,265248442
12,0,132
6,0,52
19,1,1158
31,1,295
30,0,64
2,0,52
6,0,42
34,1,248
31,1,62
32,0,50
25,0,42
8,0,43
34,1,59
15,0,42
19,1,70
15,2,3900
20,2,41719
4,1,345
9,0,49
20,2,41657
39,0,55
36,2,107102842
39,1,868
33,1,348
36,1,259
40,1,142
38,1,131
34,1,127
18,0,106
6,0,49
37,1,63
12,2,1053
17,1,341
6,0,47
34,1,69
1,2,63
38,2,284631019
27,1,853
11,1,377
25,1,193
17,1,212
2,1,274
26,1,58
34,1,316
24,2,307415
10,0,97
35,0,50
26,1,75
8,0,47
38,2,277571433
10,2,522
25,2,465413
8,0,85
19,1,1006
38,1,356
22,1,178
34,1,179
24,2,288183
2,0,63
37,0,50
10,1,470
24,2,290038
32,1,753
18,1,118
24,0,61
17,1,244
9,2,296
2,1,322
2,0,49
5,1,229
9,0,47
35,0,50
9,0,50
4,2,104
31,2,11171892
13,1,914
29,1,545
11,1,360
25,2,461401
29,1,61
31,1,205
20,2,41717
22,1,226
23,0,92
39,0,66
8,2,242
32,0,56
36,1,222
3,0,45
11,0,55
29,2,3221325
15,1,313
22,2,108986
13,0,57
24,0,48
18,1,233
10,2,446
30,1,78
14,1,146
7,1,238
1,1,60
16,1,53
23,2,175989
15,2,3839
5,1,72
20,0,49
15,2,3795
1,1,55
13,1,60
12,1,78
20,0,49
2,2,69
39,1,212
40,2,742056483
9,1,841
29,0,101
10,0,49
4,1,235
23,1,363
2,1,274
34,1,220
26,1,133
29,1,118
35,2,65319807
33,0,137
26,1,724
22,2,117479
20,0,75
38,1,396
30,0,55
15,0,48
9,1,386
1,2,67
18,1,210
23,1,276
33,0,53
15,0,55
24,0,49
14,2,2627
34,1,146
20,1,66
17,0,47
24,0,47
13,1,220
36,1,143
24,1,64
34,2,40447409
3,1,946
12,1,480
13,1,152
26,0,118
28,1,382
11,2,1180
29,0,59
37,1,280
15,1,238
38,1,206
14,2,2817
9,2,308
12,1,63
1,1,59
23,1,265
15,2,4188
7,0,51
9,2,311
29,1,66
34,1,148
19,1,289
9,2,275
1,1,53
30,0,56
16,1,67
3,2,95
24,1,65
25,1,73
14,0,57
21,0,56
13,1,57
13,0,59
12,0,56
18,1,58
11,1,220
36,2,109879119
27,1,803
7,2,338
38,0,105
15,1,471
20,1,234
5,0,91
9,1,347
6,1,224
32,2,15346417
6,0,111
9,2,347
31,0,59
34,2,39619257
10,2,612
36,0,104
19,1,983
24,1,218
7,1,366
23,1,117
20,1,58
25,2,573310
14,2,2492
33,0,84
30,1,435
21,1,215
25,1,70
21,1,52
38,2,270502324
36,2,104614461
14,2,2497
29,2,3723356
38,0,106
13,1,777
4,1,314
21,1,250
9,0,57
8,2,306
5,1,132
40,0,52
30,2,5710525
14,0,96
31,2,10527296
22,1,825
19,1,354
5,1,333
32,1,312
29,1,215
26,1,57
11,0,99
30,0,57
6,1,67
22,1,75
11,1,264
29,1,56
8,1,136
18,0,60
22,0,57
32,1,59
18,2,17297
27,1,61
35,2,59703603
39,1,802
2,0,101
28,2,2074892
19,1,451
30,0,62
6,1,364
11,1,255
26,0,50
3,2,108
37,0,48
7,0,65
14,0,45
30,0,44
3,2,64
30,1,211
22,2,109024
33,1,62
32,1,59
5,1,137
4,1,131
36,1,277
25,1,197
28,2,1980483
9,1,52
19,2,25800
14,1,252
40,1,155
21,1,133
19,2,25762
5,0,52
26,1,130
26,2,771725
25,0,50
8,0,43
29,1,137
26,2,782874
16,2,6139
27,0,60
38,0,43
29,1,63
25,1,57
36,2,105043584
24,0,164
14,1,842
13,1,161
18,1,256
35,1,320
28,2,1974064
36,1,136
4,2,141
1,1,69
26,2,746526
34,2,40913854
4,1,858
36,2,106855072
13,1,1256
9,2,894
21,2,117923
1,1,127
30,1,477
36,2,100281451
36,2,110072047
39,2,458199548
12,0,114
26,0,61
3,1,867
32,1,436
22,2,109523
23,0,55
17,2,9895
16,1,261
16,2,6289
13,2,1502
8,1,339
30,1,201
4,0,48
30,1,60
21,2,67594
14,1,250
29,1,202
22,1,241
4,1,217
13,2,1496
28,1,55
2,0,53
23,0,55
32,2,15728704
15,1,862
5,1,451
25,2,461402
7,0,98
27,1,302
40,2,714910949
25,1,941
6,1,328
18,2,17284
11,0,108
2,0,47
13,1,223
20,2,45285
12,2,2195
14,1,214
6,0,65
25,1,93
4,0,55
24,0,66
4,2,134
27,2,1317781
28,1,424
27,1,99
35,1,297
6,1,135
22,1,133
23,0,98
36,1,53
34,2,37974965
13,2,1599
13,2,1469
6,2,146
19,2,25799
14,1,889
30,1,357
13,0,91
3,1,415
13,0,47
20,1,200
3,1,59
13,1,53
3,2,100
3,0,50
40,2,724694955
37,1,1369
31,2,11514573
24,1,998
33,0,84
11,2,682
17,2,9909
10,2,412
34,1,311
31,1,466
22,1,152
27,0,59
30,2,5217566
25,1,412
17,0,99
21,0,46
23,1,104
40,1,242
35,1,141
32,2,15096014
37,0,165
21,2,67469
20,1,804
10,1,395
8,1,187
28,2,2178277
28,2,2124427
24,1,515
31,1,281
7,0,99
14,2,2476
15,1,269
35,1,272
27,1,210
8,1,80
4,1,137
11,2,654
35,1,50
4,2,110
28,2,2217583
6,1,570
16,1,222
10,2,699
37,1,236
34,1,143
26,2,826781
16,2,6690
29,2,3173892
25,1,361
15,1,189
17,1,78
21,1,212
22,2,109004
40,0,77
20,2,41662
11,1,277
35,1,161
5,2,130
15,0,58
33,0,51
9,2,348
16,1,69
30,2,5326038
10,1,402
3,1,637
35,1,158
14,1,192
10,1,53
19,1,82
18,1,51
35,1,61
34,2,36779321
1,0,119
26,2,805635
23,1,870
7,2,207
24,0,83
26,0,56
11,1,375
8,0,46
6,1,282
32,1,297
32,0,55
8,1,127
36,0,55
15,1,254
18,1,120
5,1,117
23,2,269063
16,1,630
4,1,356
2,2,147
19,1,179
25,1,116
38,1,357
8,0,128
35,1,236
7,1,142
21,0,117
16,1,83
21,1,191
28,2,2032547
15,1,410
13,1,192
31,1,186
19,2,25833
9,2,298
33,0,58
30,1,149
7,1,272
16,1,59
20,1,125
32,1,68
21,1,51
34,2,37592468
12,1,907
7,0,93
19,2,31149
6,0,64
25,1,403
32,2,14351994
8,0,127
15,1,885
33,1,430
28,2,1974431
12,0,152
21,0,51
38,1,393
11,1,376
8,1,282
17,0,63
39,1,64
25,2,523551
32,2,15206070
18,1,1263
8,2,272
13,1,314
8,0,95
28,0,51
25,0,50
25,2,461418
31,1,282
16,1,375
24,1,230
12,0,52
14,0,51
29,2,3469412
36,1,824
24,1,143
16,0,90
10,1,337
33,1,81
37,0,60
15,2,3892
28,2,2019772
9,2,305
3,0,58
16,1,118
24,2,374842
17,1,129
26,2,746522
34,2,38625139
3,1,1436
19,0,96
7,1,304
18,1,350
32,0,64
36,2,111298299
8,1,1433
30,0,105
28,1,397
30,1,142
30,1,57
25,2,497718
37,2,176602380
21,1,1102
17,1,332
27,0,104
28,0,50
25,0,47
6,0,62
30,2,6047037
8,1,1117
8,0,90
20,2,44966
34,2,42998355
14,2,2710
21,0,87
35,1,1451
2,0,73
22,1,731
17,2,10691
39,2,475385516
5,1,943
32,2,13922204
33,1,1610
24,2,367173
26,1,1824
34,1,861
21,1,1539
34,0,152
30,2,6390997
16,1,718
13,1,179
5,1,257
28,0,97
30,1,321
21,2,72900
9,1,380
31,1,120
9,1,88
22,0,72
13,1,149
20,1,174
29,0,55
17,2,10701
20,0,55
28,1,345
3,2,106
12,1,137
8,1,66
25,2,503455
35,2,66193704
7,1,1256
1,1,64
23,0,99
27,1,346
18,0,55
4,2,192
22,2,119352
21,1,288
25,1,207
24,2,309570
13,1,294
29,0,54
9,2,317
34,1,309
19,0,52
22,1,69
26,2,825475
10,1,630
17,0,71
17,1,227
24,0,132
32,0,55
22,2,120536
12,0,54
12,2,1062
34,2,38530070
30,1,885
36,1,427
5,1,331
39,1,226
30,1,67
20,0,126
37,0,62
28,2,1985728
4,0,53
24,1,281
39,1,52
9,1,286
26,1,124
22,1,125
8,2,248
8,1,130
37,0,51
18,1,109
14,1,238
6,1,63
3,0,44
5,1,59
20,1,51
35,2,61104506
34,1,816
25,2,895359
16,0,156
25,0,64
14,2,2645
10,1,759
7,1,241
5,1,216
18,0,53
19,1,361
26,1,140
16,0,52
5,0,53
6,1,66
32,1,330
10,1,66
25,1,234
33,2,23145671
37,0,132
5,2,191
2,1,780
40,2,733833978
17,2,9998
27,1,836
17,2,9873
6,0,92
19,1,339
21,1,153
38,1,345
35,1,188
36,0,64
16,1,232
35,0,51
35,1,53
38,2,273052250
21,1,935
18,2,16153
12,2,1026
29,2,3554167
11,0,97
9,2,315
23,1,1227
12,2,965
17,1,247
23,0,66
23,2,179364
11,0,50
20,2,42216
5,1,270
27,2,1220083
24,0,48
30,1,441
11,0,54
35,0,50
8,0,49
24,1,290
21,1,181
20,2,45581
12,1,285
12,2,1006
39,2,460272872
12,0,140
36,1,1223
17,1,333
1,1,58
34,1,146
11,2,744
14,1,241
37,1,58
33,2,33503741
24,2,618338
12,2,1927
32,2,16305591
17,1,1101
16,2,10877
3,2,160
1,2,97
26,1,309
25,2,807139
5,0,94
23,1,267
4,1,284
38,0,57
25,1,53
18,0,54
19,1,262
23,0,43
3,1,297
21,1,60
13,1,139
24,0,49
7,2,187
31,2,8925460
3,2,168
24,0,66
27,1,768
38,2,266957169
32,1,878
33,1,96
39,0,93
6,1,347
5,2,581
14,2,2439
35,1,247
40,0,51
27,2,1224665
18,2,17334
30,1,148
26,1,200
27,1,141
40,1,220
14,2,2584
25,1,214
10,0,56
4,1,226
32,1,63
38,1,145
25,1,68
23,1,154
37,1,56
33,1,64
10,2,474
30,1,59
8,2,240
2,0,60
4,0,51
34,0,56
14,0,63
22,0,47
29,1,58
2,0,44
11,0,44
31,1,63
6,0,49
13,1,191
32,1,60
8,1,116
10,0,46
25,0,43
21,2,67410
9,0,50
34,1,65
12,1,184
30,2,7379894
13,1,901
19,1,390
5,0,96
22,1,232
5,2,201
1,1,61
18,0,64
19,1,59
26,0,45
26,2,748971
24,1,125
17,2,9914
12,2,964
12,0,68
38,1,349
24,1,114
28,2,2148658
35,2,60898726
5,1,831
10,0,98
30,0,52
6,0,42
36,2,106651439
2,1,1348
28,1,1188
30,1,305
40,1,428
36,2,108334528
39,0,139
10,2,527
36,1,970
20,0,47
31,1,258
24,0,50
37,1,80
29,1,198
2,2,98
1,1,60
9,1,290
22,1,259
32,0,55
38,2,273563944
27,2,1207824
35,2,63688477
31,1,1325
27,0,97
1,0,56
3,2,133
37,1,326
36,0,43
25,1,339
26,0,49
5,2,162
33,2,22939509
30,1,792
13,2,1599
14,1,439
22,1,209
5,1,288
35,0,99
12,0,61
14,1,59
39,0,50
12,2,1022
21,1,223
8,1,139
21,1,51
35,2,60120755
12,1,848
6,1,292
11,0,91
32,2,14216121
35,1,1343
32,2,14307652
30,1,821
28,2,2151393
4,0,100
2,0,56
17,2,9919
10,2,506
8,1,976
37,1,356
25,1,303
33,1,185
24,1,215
38,1,222
22,0,64
2,1,402
26,1,114
27,1,292
17,0,59
10,2,430
4,1,132
32,1,203
11,1,338
13,0,54
10,1,187
36,0,48
5,1,52
7,1,215
5,2,153
18,0,54
8,1,64
39,1,57
36,1,117
30,2,5605424
7,2,228
3,0,70
10,1,713
26,1,250
31,2,8497253
21,2,75514
17,2,11067
20,1,295
34,1,326
34,0,86
2,1,312
4,1,131
38,2,271200059
21,1,802
17,2,10000
33,0,88
8,1,302
1,1,71
26,1,124
10,1,174
33,0,72
2,2,88
34,2,39333592
11,1,946
34,1,333
6,1,198
15,2,4280
37,0,111
25,0,47
10,1,133
19,0,55
28,2,1966213
17,0,42
20,1,317
6,0,45
9,0,55
26,1,130
11,0,45
20,0,50
21,2,67393
32,2,15438663
32,1,887
36,1,325
17,1,335
14,1,180
39,0,101
30,2,6534247
23,1,933
10,1,441
13,2,2654
20,0,102
16,1,261
18,1,208
9,1,272
31,1,272
15,0,91
21,2,122225
15,2,55368
30,0,115
19,1,449
7,0,56
11,0,73
36,2,113337712
7,2,272
27,1,717
25,2,496949
28,1,181
32,1,346
25,0,96
27,1,143
7,1,389
14,1,181
17,1,118
26,2,1058988
22,1,716
7,1,274
19,1,220
29,1,321
31,1,123
22,1,81
5,2,260
1,1,70
6,1,104
16,1,171
32,2,16508581
21,1,912
13,1,303
29,1,259
15,0,118
12,1,183
5,0,65
8,1,283
31,2,10025842
10,1,673
38,1,310
39,0,98
36,2,112096548
9,2,430
39,0,79
39,0,51
20,1,756
9,0,44
32,1,363
23,1,243
22,1,52
19,2,25823
14,1,292
17,1,133
35,0,60
4,1,268
38,0,44
17,2,9921
15,0,50
14,1,52
28,0,42
3,1,277
31,0,42
23,1,54
7,2,190
3,2,88
20,1,60
12,2,981
25,1,61
28,0,50
6,2,153
7,0,44
34,0,55
12,1,134
38,0,49
5,1,131
27,2,1207749
35,1,263
34,1,136
38,2,267860764
7,1,1365
2,1,306
21,1,296
8,2,323
3,1,150
22,1,110
11,1,264
39,0,106
16,1,143
17,2,10688
31,0,53
28,2,2085104
9,0,57
33,1,316
5,0,47
22,0,46
20,0,42
35,0,44
33,1,61
23,1,141
21,1,58
21,0,51
34,1,188
6,2,204
28,0,43
35,1,124
4,1,63
6,1,51
21,1,59
16,0,48
21,0,49
14,1,186
30,2,5286268
29,2,3572533
3,0,129
31,0,50
13,2,1566
7,1,989
22,2,109427
12,1,592
30,1,491
15,0,55
18,0,54
24,0,45
4,2,135
21,1,272
37,0,43
23,2,176513
32,1,126
22,1,303
4,1,258
27,1,184
6,2,153
39,2,437715756
37,0,131
32,1,902
31,1,112
34,0,67
22,2,109075
19,2,25806
2,0,50
31,0,44
20,1,271
