ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
4580,100,3300,3228,4053
3300,1664,5860,1664,4044
740,2055,3940,2837,4096
5220,3228,3940,882,4259
3300,2837,2020,3619,4698
1380,1664,100,3619,4142
2660,1273,5220,2837,4530
4580,882,2660,100,4266
740,491,1380,2446,3639
2660,882,100,1664,18917
5220,2837,740,2446,13245
2020,2837,4580,2446,4871
5860,882,1380,1273,4081
3300,2055,2020,882,4853
2660,882,2660,882,4658
740,100,4580,3619,3340
5860,882,5220,3228,4422
740,3619,4580,2446,4211
5860,491,2660,3619,3799
5860,491,4580,3619,4237
100,2837,3300,2446,3651
3940,2446,740,3228,4494
4580,2446,2660,1273,3739
5860,2837,1380,491,3858
100,2446,3940,491,3631
5220,2055,100,3228,5691
740,2837,1380,2446,3663
3940,100,5860,491,3661
740,2055,1380,3619,5254
740,491,3940,2055,3728
2020,882,2020,491,4200
3300,491,4580,1664,3953
5220,2446,1380,3619,4766
740,882,3940,100,3929
5860,2446,3940,882,4518
5220,3228,1380,2055,4642
3940,3619,2660,2446,4202
3300,2837,740,2446,4557
2020,3619,4580,2055,4552
100,3619,1380,100,3743
3940,3228,2020,3619,3733
1380,882,100,2446,4123
2020,491,4580,2055,4054
3940,1664,5220,491,3690
740,100,740,2837,3089
100,2837,100,491,3846
2660,3619,740,3228,3566
3940,2837,3300,2055,4295
5220,2446,1380,2055,4229
5220,1273,5860,1273,3952
4580,1273,3300,882,4186
2660,1664,2660,3619,3818
740,2837,2660,3228,4260
5860,882,4580,100,4444
3300,882,5220,491,3881
3300,3619,740,491,4074
3300,3228,5220,2837,4245
3300,100,100,2837,3294
3940,100,1380,1664,4262
100,2446,4580,491,4719
4580,2055,100,1273,3681
740,2055,100,100,4559
3300,1273,5220,2055,4169
2660,100,2660,100,4539
100,2837,3300,882,4001
3300,2055,5220,2837,4077
3300,100,740,3228,3860
2020,882,3300,882,3757
1380,3228,3300,2055,3760
5860,1664,5220,100,4396
2020,2055,3300,2055,3781
4580,100,3940,3228,3541
4580,1273,4580,3619,3492
4580,3619,2020,491,3987
5220,1273,2660,100,4001
3940,3228,3940,491,3872
5220,3228,5220,1664,4353
4580,2055,2020,3619,3852
3300,1273,1380,1273,4652
4580,2055,1380,491,4051
3300,1664,2660,3228,4794
5220,2055,1380,3228,5066
4580,882,2020,3228,4355
100,882,100,2446,3438
3300,491,1380,2837,4035
1380,1273,2020,491,3854
3300,100,2660,1664,3448
2660,2837,3300,882,4294
1380,100,4580,2446,3317
3940,2837,3940,2055,4738
5860,491,5860,2837,4090
2020,882,1380,3619,4072
4580,2446,5220,2055,3881
5220,491,100,2055,6070
3940,3228,4580,3228,4294
2660,1664,740,3619,4146
3940,3619,740,100,4916
740,2055,740,882,3701
3940,1664,5220,1664,4259
740,491,2660,491,3724
5220,3619,5220,1664,4446
2660,882,2020,100,3891
3940,1273,100,1664,4775
740,3228,3300,2055,6032
4580,2837,100,1664,4267
740,1273,100,2055,4389
2660,2055,3940,2837,4042
740,2837,4580,1664,3731
740,3619,5220,100,4106
2020,3619,1380,1664,3928
2660,3228,1380,1273,3880
2660,1664,1380,2446,4268
1380,491,5860,1664,3664
3940,882,100,100,4133
100,2446,5220,1664,4154
3940,1664,2660,2837,3998
2020,882,740,2837,4216
3940,100,3940,100,3969
2660,3228,3300,2837,3959
5860,2055,5860,3619,6267
3940,2446,2020,100,4487
4580,3228,1380,3228,4594
2660,882,5860,2055,4027
2660,2837,2020,3228,5708
1380,1664,1380,3619,3828
5220,2446,100,3619,4114
740,3619,5220,1664,3663
4580,3228,1380,1273,4202
1380,3228,2020,3228,4267
2660,100,5220,2055,3330
3940,491,3940,2446,3905
740,882,100,882,3826
2020,1273,1380,100,4305
100,2055,740,1273,3512
2020,2446,1380,100,4155
5860,1273,740,100,4207
5860,3619,1380,2055,3941
3940,2055,4580,491,4323
5860,2055,2660,3619,3621
2020,100,740,1664,4663
1380,1273,2660,2837,4351
3300,1664,5860,3228,4871
2660,3228,3940,491,3962
5860,491,100,3619,3982
3300,491,100,882,3581
5860,1664,4580,3228,4193
100,2837,5220,1273,4990
100,882,3300,100,3151
5220,3228,1380,2446,3585
4580,3619,4580,100,4016
100,491,3300,1664,3017
3940,3619,3940,1273,4553
2020,2837,4580,3228,3751
100,1664,740,1273,3454
100,100,100,2837,3398
3300,882,3940,3228,4011
2660,2837,1380,491,4098
2020,882,3300,3228,4307
2020,1273,740,2055,3815
2020,491,5220,2446,4113
2020,2837,3940,2055,4200
3940,2446,100,882,4024
2020,3228,3940,882,3986
2020,491,100,882,5773
3940,3619,1380,2055,4271
3300,2837,2020,882,6534
4580,491,3300,100,4257
2020,1273,3940,3619,3791
4580,2446,1380,2837,5619
100,100,2020,100,3315
740,1664,3940,882,3414
5220,3619,100,100,4019
3300,2055,3940,882,4434
2020,3619,740,100,3816
740,2837,5860,882,3846
5220,882,5860,100,4194
2660,3228,740,2837,4648
100,882,1380,2055,3448
740,100,1380,2446,3499
3300,3619,5220,491,3799
3940,2837,5220,100,3880
2020,1664,3300,1664,4505
3940,882,4580,882,4114
5220,2055,5220,491,4386
740,2055,4580,2446,3768
5220,3228,2660,2055,4024
2020,2446,2020,100,4112
5860,3619,3940,2055,4396
2020,491,2020,2446,4103
2020,1664,1380,3228,3704
100,2446,2020,3228,3631
1380,882,740,2055,4230
4580,2055,740,1664,4254
3300,3619,3300,491,4153
3940,491,1380,2446,4149
3940,3619,740,491,3662
2020,3228,3940,3228,3707
1380,3228,100,2446,5455
2660,2446,5860,491,4178
2020,1273,2660,3228,4197
5220,3228,4580,2837,5788
5860,2446,3300,491,4598
1380,1664,100,1273,3942
5860,1664,740,3228,4353
3300,1664,1380,1664,4452
3940,3228,4580,491,4806
5220,882,3300,491,4409
740,3228,3300,1273,3987
100,100,1380,3619,3103
100,1273,5220,2837,3521
4580,100,4580,2446,4314
100,2446,4580,3619,3983
2020,1273,5220,2446,4157
3940,2837,3300,3619,3838
2020,100,2660,882,4124
3300,3619,100,2446,6522
3300,3619,2020,1273,3786
4580,1273,2660,3228,4207
4580,882,3940,1664,4587
2020,3228,3300,3228,4102
5860,491,5220,1273,4301
3940,100,3940,491,3646
100,1664,5860,3619,3737
3940,2837,740,2055,4166
100,3228,4580,2055,5849
100,2837,5220,3228,4273
5860,2837,2020,100,4128
3300,1273,100,1273,4239
5220,2446,2020,491,4294
4580,1664,4580,1273,4875
1380,2055,5220,100,4410
5860,1664,740,2446,4004
3940,2837,3300,100,4233
5220,3619,4580,1664,4246
3300,2446,3940,3228,3943
100,100,5220,2055,3388
3940,491,5860,1664,4228
3940,2446,100,2837,4994
1380,2837,2660,100,4051
5860,100,3940,491,4111
1380,1273,3300,1664,3543
740,100,100,100,3559
3300,1273,3940,1664,4117
3300,100,4580,3619,3320
740,100,5220,1273,3746
4580,3228,5860,2837,4105
4580,1273,740,2837,4737
4580,2837,100,3619,4077
100,2837,4580,882,4295
4580,3228,100,2837,4547
2660,491,100,882,3702
5220,2837,1380,1273,5322
3300,2837,740,882,4088
5860,100,1380,3228,4039
3940,1664,1380,1273,3973
2660,2837,2020,882,4037
2660,3228,2660,1273,6026
3300,100,5860,1664,3648
1380,3228,740,2446,4435
2660,882,5220,2446,4631
2660,882,5860,2837,3685
5860,100,1380,1273,4123
5220,1273,1380,3228,4028
1380,1664,2660,1273,4193
1380,2837,100,2055,4276
2020,1273,4580,1664,3956
5860,491,1380,882,4190
4580,1664,1380,3228,3773
5220,2055,5860,1273,4334
5860,882,5860,1664,3795
2020,3619,100,3228,6063
3300,2055,100,3228,3857
5220,491,2660,2446,5282
3300,100,2660,491,3315
4580,2446,5860,1273,4426
2660,2055,5860,882,4016
740,3228,5220,2446,4228
3940,2055,4580,100,3609
2660,1273,5860,1664,4246
100,491,3300,2055,3330
2660,2055,3300,3619,61289
1380,2055,5220,3619,3729
1380,1273,3940,1664,4350
740,3619,5860,100,4594
4580,1664,3300,100,4167
4580,882,740,882,3828
740,2055,740,491,4008
5860,882,100,2446,4205
5220,2837,5860,2446,3992
4580,2837,5860,3619,4444
3300,491,100,2446,4434
2660,1273,5220,1273,3879
740,2837,3300,491,3707
5860,1273,5220,1664,4575
1380,100,2020,1664,3453
2660,2055,2660,2446,3693
4580,1664,2020,3619,3828
3940,1664,3940,3619,3825
5860,100,100,3619,3797
5220,1664,740,882,3859
1380,3228,2020,100,5240
3300,2837,1380,3228,3962
4580,1273,740,1273,3881
3940,1664,4580,100,4274
1380,1664,5220,2446,4356
740,1273,2020,1664,3959
3300,1664,3940,2837,4376
1380,3619,5220,1273,3947
740,491,3300,491,3670
2660,1664,4580,100,4632
2660,2055,740,3228,4301
4580,882,2660,3619,4345
3940,2837,1380,1664,3866
3300,2837,3300,3228,4088
100,491,100,3228,3415
5860,3619,4580,1273,4048
2020,2837,5860,2837,3975
1380,100,1380,882,4546
4580,2055,1380,1273,4969
740,2446,3940,882,3911
2020,2837,5860,491,4283
5220,882,5220,100,4358
5860,2837,2020,3228,5735
100,1273,5220,3228,3125
740,2446,4580,100,6004
5860,3228,2020,2837,4540
100,100,2660,491,3463
4580,491,1380,1664,5067
4580,1273,2020,2837,4466
100,1273,1380,882,3816
740,3228,1380,2837,4269
5860,2055,5220,1273,4233
3300,882,3300,491,5453
5860,3619,4580,2055,4259
3300,3619,740,882,4047
4580,491,100,2055,4265
5860,2446,3940,491,4396
3300,100,1380,1664,3731
2660,2055,1380,3619,4302
3300,3619,3940,1273,4798
4580,3228,740,2055,5274
5860,2837,740,3228,4278
3940,3228,3300,3619,3861
100,2837,5220,2055,3529
3300,491,3300,1273,4408
740,100,3940,3228,3534
2660,1664,3300,3228,3955
2020,3619,5860,2055,4471
100,3619,5860,100,3829
5860,100,2020,3619,3629
1380,3619,3940,2837,3800
2660,100,1380,882,3598
5220,1664,5860,1664,4425
2660,1664,3940,1273,4037
4580,2055,5220,2055,4078
2020,3619,740,882,3812
3940,2837,3300,2837,5530
100,100,3300,882,3261
2660,3619,4580,2837,4241
100,2055,4580,1273,3692
5220,1664,4580,882,6069
100,3228,740,100,3970
5220,2055,4580,3228,4618
5860,2446,2020,2837,3716
2660,3228,2660,491,4369
2020,2837,100,3228,3911
3940,100,3300,1273,4186
100,100,3940,2446,3476
3940,882,3940,491,4197
3940,100,3300,2837,3806
3940,2055,740,2837,5527
2660,100,1380,1273,3521
5860,1664,5220,3619,4161
3940,2446,1380,3619,4402
4580,2837,3940,1273,3955
5220,3619,1380,100,4306
4580,491,5860,1664,4388
2660,3228,5860,882,5771
100,1664,2020,491,3749
1380,3228,5860,2055,4078
3940,882,2020,2837,5164
3940,1273,5860,2055,4445
2660,491,3300,3619,4343
100,2837,5860,1664,3959
3300,2837,5220,491,4116
2660,100,4580,3619,3408
3300,100,2660,1273,3405
5860,100,5860,1664,3864
5860,2446,740,882,3981
5220,3619,5860,1273,4382
5220,882,5220,2446,4321
4580,1273,4580,2055,4084
5220,1273,3300,882,5068
740,882,3300,1273,4092
5220,1664,2660,100,3823
3940,3619,740,2055,3990
3300,2837,5220,100,4270
740,2837,100,491,4430
5860,1273,3940,100,4217
100,491,5220,882,3707
5220,1664,5220,2055,4110
2020,491,2020,100,4969
740,882,3940,882,3832
1380,882,1380,1273,4258
5220,2837,2020,2446,4286
3940,100,740,1273,4176
3940,2055,4580,2837,4461
4580,1273,2660,1273,3857
2660,882,2660,3228,5192
5220,2837,740,1273,4711
2020,2446,2020,2446,3870
1380,3619,1380,882,3836
3940,2055,3300,1273,6171
3940,2837,5220,882,4613
100,2446,2660,1273,3610
5220,3228,3300,3228,3980
2020,1273,5860,1273,3618
100,2837,5220,3619,4080
3940,1664,740,3228,4435
1380,100,100,1273,3603
3940,2837,1380,3619,5903
5860,100,2660,2446,4010
2660,2837,5220,882,4159
3300,1273,740,3228,4113
740,100,740,2446,3510
4580,1273,3300,3619,3863
1380,3228,5860,100,4383
4580,2837,1380,2055,3990
4580,1273,3300,100,4111
2020,1664,5220,3619,5687
2660,1273,740,3228,3817
100,3228,5860,1664,3987
3300,2055,100,2446,4409
3940,1273,4580,3228,4528
3940,100,4580,3228,23953
3300,100,4580,491,3326
2020,100,740,3619,3487
2020,2055,2020,1664,5816
4580,2055,3300,1664,6208
5860,2446,2660,1664,4434
5860,2446,2020,3228,3989
3300,2837,5860,2837,12124
1380,3619,2660,882,3983
4580,100,1380,2055,4004
3940,2055,3300,2837,4420
100,2055,2660,1664,4180
4580,2055,2020,2055,4286
100,2837,2660,3228,4251
4580,100,5220,491,3541
5860,3619,740,3619,3922
5860,2055,3300,100,3770
5860,3619,5860,3228,6522
5220,2055,2660,2446,4086
3940,2446,3940,3619,4472
2660,1273,1380,100,4311
2660,100,3940,2055,3235
5220,491,100,100,4597
4580,1664,100,3228,4404
2020,1664,2020,1273,4187
5860,2837,100,3228,4249
3940,491,740,1664,3823
2660,3619,2020,2055,3487
5860,2055,2660,100,4255
5860,1273,4580,1273,4197
740,882,2660,882,3604
3300,2446,100,1664,3591
3940,2446,5860,491,6775
4580,3228,2020,2837,3700
740,3619,740,1273,3449
4580,3619,100,491,4658
2020,100,100,3619,3169
3300,3619,4580,2055,4392
4580,100,1380,2446,4190
100,2837,4580,3228,3820
1380,1273,2660,491,3682
5860,2446,1380,3619,4152
3300,2446,740,3619,4676
3300,3228,5860,2055,4500
3300,2446,5860,1273,4179
3300,1664,3940,100,3988
5220,1273,2660,2055,4481
5860,1664,3940,882,3986
4580,1664,740,882,4319
5860,3228,100,491,4543
5860,100,3940,1273,4035
5220,1664,100,3228,3892
100,100,5220,3228,3130
2020,2446,5860,3228,3756
2660,2837,2660,882,4008
100,1664,4580,2837,3414
5860,2837,100,1273,4195
5860,2837,1380,2446,5082
3300,491,740,2837,3685
3940,3228,5860,3228,3884
3300,100,3300,2837,3465
5220,491,1380,2446,4808
3940,2446,100,491,4676
4580,882,100,100,4658
1380,1664,740,100,3843
5220,1273,1380,2055,4875
3300,882,5220,2055,4452
4580,2055,1380,2837,4501
100,1273,740,491,3444
4580,3619,2660,491,4365
3940,100,740,2837,3492
5860,2446,1380,1664,3889
2020,3619,740,3228,4146
2660,2055,5220,2446,3707
1380,2837,3300,882,3853
2020,100,5860,882,4120
1380,2837,2660,2055,4281
5860,2055,3300,882,4120
100,491,3940,100,3357
3300,1664,740,1664,3902
5220,3619,740,3619,5286
5860,882,740,3228,4528
4580,1664,5220,2446,4676
5220,3228,3940,100,3672
5220,2837,5860,2055,6344
5860,2055,2020,491,4121
5860,2446,5860,2055,4075
5220,2837,2020,1664,5768
100,100,3940,2055,4466
5220,3619,3300,2446,4402
100,1273,100,2055,3881
1380,2446,4580,2055,17231
4580,2055,2660,2837,4787
3940,1273,1380,491,4324
740,3228,2020,1664,4002
5860,882,4580,3619,4186
100,100,100,3228,3112
5860,2055,2660,882,4500
1380,1664,3940,491,3901
100,2837,1380,100,3411
3300,882,5860,3619,4152
740,1664,5220,3228,4046
5220,491,5220,3228,5178
100,1273,1380,2446,3430
2660,491,2660,2837,3892
740,2055,2660,3228,4291
2020,491,2660,2837,3588
4580,882,740,491,4037
2660,3619,1380,1273,4558
100,491,1380,2837,3755
2660,3619,3300,882,4288
5220,1664,3300,2446,4592
1380,2446,740,3228,5049
5860,2055,5860,1273,4334
5860,2055,3300,2837,3875
5860,882,2020,100,5519
100,2055,3940,3228,3648
3940,2837,740,3228,4003
100,2837,740,882,4012
100,3228,3940,3619,3572
2020,882,3300,2055,4418
740,1664,740,2055,4066
4580,2446,100,2055,4206
2020,3619,100,882,4251
5860,1273,2660,100,4461
3300,1273,5860,1273,4785
740,2055,5860,491,3783
5220,1273,2020,491,4612
3300,491,3940,2446,4043
100,2837,1380,2446,5703
1380,1664,100,1664,4433
4580,3619,3940,2837,4163
5220,882,5220,882,3975
740,2446,100,491,3818
5220,2446,4580,1273,6674
100,882,5860,3228,3516
4580,3228,740,491,4392
100,100,100,2055,5483
2020,3619,1380,2446,4197
5860,3619,100,491,3749
740,882,4580,3619,5117
2020,3619,740,2055,4063
3300,3228,740,1273,4203
3300,882,2020,2837,3823
3940,1273,2020,882,4950
5860,3228,1380,2446,4543
5220,1273,740,2837,4217
3940,1664,5860,1664,4449
5220,3228,2660,2446,4054
3300,491,2020,3619,3942
2020,1273,100,3619,3861
1380,2446,5860,491,4501
3300,3228,2020,3619,4572
3300,2055,3940,100,3848
3940,3228,2020,491,4560
100,2837,1380,1664,4715
1380,2055,2660,491,3922
3300,2446,2660,3228,4233
3300,882,3940,1273,4508
3300,1273,3300,1664,4548
3300,3228,3940,2837,4953
2660,882,100,1273,4293
2020,1664,2020,2837,4170
3940,1273,5860,2837,4105
1380,2837,1380,100,4375
740,2446,5220,882,4242
2020,1273,1380,2055,4410
2660,3619,3300,2837,3910
5220,100,4580,2837,3558
3300,2446,3300,882,3879
3940,3228,5220,2837,4152
4580,3619,3300,2446,4155
1380,1273,5220,1664,3895
1380,491,740,1273,4108
5220,1664,3300,882,4834
2020,2837,5860,2446,3748
4580,2446,100,2837,3522
3940,100,5860,1273,3625
5220,3228,740,100,4351
1380,3228,100,2055,3983
2020,2055,3940,2446,3853
740,2837,3300,2055,5084
5220,1664,2020,2446,4648
5220,1664,740,2837,3941
100,2055,1380,2055,3352
5220,1273,1380,882,6415
2660,3619,3940,3228,4210
1380,3619,2020,100,4118
740,491,2020,3619,3927
3300,491,4580,2446,3732
2020,882,3300,1273,4133
2660,1273,3940,1273,6337
5220,100,100,491,4536
2660,3228,5220,1664,3748
740,2446,740,2446,3924
1380,1273,1380,1664,4184
5220,100,2660,882,3472
2020,2837,4580,491,4328
1380,491,3300,2446,3896
5860,100,4580,100,4378
1380,1664,2020,2055,4442
1380,1664,5860,3619,4417
5220,2446,100,1664,4425
5860,2837,5860,882,4232
3300,882,5220,1273,4235
740,882,5220,3228,3462
100,882,3940,2837,3443
100,2446,2660,100,3353
4580,491,1380,2446,4140
5220,3228,5860,2837,4361
4580,1664,2660,2446,4181
5220,3619,5860,2055,4327
2020,2055,3300,491,3996
5220,882,740,2055,3887
5220,2446,2660,1664,3995
100,882,3940,491,3313
2020,1273,3300,100,4243
4580,2837,5860,3228,4322
5220,3619,3940,100,3687
5220,491,4580,882,3984
1380,1664,4580,100,3829
2020,491,3940,491,4179
1380,100,2660,491,3055
740,2837,2020,100,4092
100,2055,3300,1664,3541
4580,882,1380,3228,4778
2020,1273,3940,882,3697
5860,882,3940,3228,4656
5220,2055,100,2446,4270
3940,100,2020,2837,3669
5860,100,2660,882,4157
1380,1664,1380,2055,4171
2020,3619,1380,882,6720
3300,2837,740,100,4352
2660,2055,2660,2837,4038
2660,1664,5860,2837,4188
740,2055,3940,2055,5381
2020,2055,740,3228,3998
1380,3619,5860,3619,4327
1380,882,1380,2446,4369
5220,3228,100,1273,5154
100,100,4580,3619,5261
2660,3619,100,100,4362
5860,2837,3940,100,4331
4580,3619,5860,1273,4262
3940,491,2020,100,3743
3300,1664,2660,2446,3866
5220,1273,2020,2446,4327
3300,3228,3940,1664,4318
5220,2055,2020,882,4334
1380,2446,2660,882,3634
740,3228,2660,2055,3960
3300,2837,2660,2837,3748
4580,882,2020,2446,4071
2660,491,2020,1664,4188
5220,2055,3300,2446,3545
2660,100,3300,2446,4267
1380,2446,3940,100,6433
2020,882,740,2055,3957
4580,491,5220,882,4020
740,1664,5220,882,4426
5220,491,2660,2837,4028
2660,3619,100,3228,4066
740,2055,3940,1273,4268
5860,2446,4580,2055,3993
2020,1273,3300,2837,4035
5860,3228,3300,1664,4329
2660,100,5220,491,3663
3940,882,2020,100,4183
740,491,3940,2837,3687
100,491,4580,882,3300
2020,1664,2020,3228,3830
4580,2055,740,2837,4272
1380,2055,740,2837,6395
3300,3619,4580,882,4477
1380,2055,2020,2055,3736
5860,491,5860,1273,4118
740,1273,2020,491,4140
5220,2837,3940,2446,3901
2660,882,4580,2837,4019
3300,2446,5220,882,4604
100,2837,3940,2837,4108
1380,3228,5220,3228,3946
4580,3228,1380,1664,4600
3940,3619,2020,3228,4192
2660,2055,2020,3228,4124
5220,1273,3300,2837,5030
4580,882,5860,2055,3996
3940,2446,5220,2837,4199
2020,3228,5860,2446,4598
740,491,5220,2055,3887
100,491,3940,1273,4166
1380,491,4580,3228,3795
100,2055,100,2446,3856
4580,491,2020,882,4424
3940,2055,100,1273,3779
2660,100,740,882,4849
100,2446,740,2055,3599
5860,491,100,1273,6245
5860,3619,2660,100,4420
2660,1664,740,2446,3742
4580,3228,3300,1664,5224
3300,3619,4580,3619,4860
4580,3228,740,2837,6794
4580,1273,2660,882,4066
100,1664,4580,2055,3577
2660,3619,3940,1664,4561
740,1273,2020,2055,4441
2020,882,740,3619,3961
100,3619,1380,3619,3700
5220,2837,5220,2055,4377
3940,100,740,1664,3956
100,1664,1380,3228,3937
100,3228,2660,1664,4192
3940,2446,1380,100,4537
3300,3619,3940,3228,4321
2020,100,740,100,3431
4580,3619,100,1664,4619
1380,2446,3940,2446,4316
5860,1273,5860,3619,4573
740,1664,5860,882,3805
1380,491,5220,882,3962
3300,3619,2020,3228,3932
740,100,740,882,3159
3940,1664,100,3619,4141
2660,3228,3940,2837,4269
740,2446,1380,491,3818
2660,3228,3300,2055,4305
5220,1664,2020,1664,4152
1380,882,2020,1664,4346
3940,2446,4580,2446,4181
1380,3619,1380,2446,4191
4580,100,5220,2446,3262
740,882,100,1273,4023
3300,2446,1380,1273,4032
2660,491,5860,2837,4088
3300,1664,5220,1664,4125
5860,882,1380,100,4322
2020,3228,5220,2446,3649
1380,3619,4580,1273,3718
2660,2837,3940,2837,4030
5860,491,3940,3228,5192
5860,3619,740,2446,4133
5220,2446,740,882,3883
3300,100,3300,1664,3442
3300,2837,740,2055,6057
4580,882,3940,2055,4197
3940,3228,2660,2055,4409
2020,100,5220,1664,5421
5860,882,1380,882,6446
740,2837,100,3619,4850
2660,2446,3300,882,4202
2660,2055,100,882,4236
100,1664,740,100,4708
2660,882,5860,1664,4074
2020,882,5860,1273,4308
5860,100,5860,491,4221
2660,3619,5220,2055,3456
3300,2055,5220,1273,3758
2020,2055,3300,1664,4621
2020,2055,1380,1273,4345
2020,882,5860,491,3896
2020,3619,2660,1273,5210
2020,3619,100,3619,3978
100,2055,4580,491,3650
100,2446,4580,1664,3699
5860,2055,3940,2837,3948
2020,3228,1380,2055,4977
2020,1273,3940,1273,4152
2020,1273,2020,100,4261
740,100,3940,1664,3368
4580,2837,100,491,3887
5220,100,5220,3228,3551
1380,3228,1380,3228,4276
3940,3228,740,2837,4043
2020,2055,3940,100,4622
100,491,100,2446,3480
4580,1273,5220,2055,4117
2020,2446,100,2837,3954
2020,3228,740,2446,4455
100,2837,100,100,3687
1380,100,2020,1273,3753
740,3619,3940,2837,4018
100,3228,100,2055,4246
4580,3228,3940,3619,3668
100,882,1380,1664,5820
2660,100,3300,491,3780
740,100,3300,100,4596
5220,3619,5220,3619,4053
3940,100,3300,491,3635
5220,2055,3940,100,4251
5220,1273,3940,2055,4568
3940,882,5860,2446,4353
2660,3228,3940,100,4401
4580,1664,2020,2446,4356
2020,2446,4580,3228,4598
100,100,740,3228,3355
3300,1273,1380,3619,3923
1380,3228,5220,2446,4241
2660,100,1380,1664,4409
100,2055,1380,2446,3720
740,2837,3940,491,5252
2020,2446,3940,2837,3870
4580,2837,3300,1664,4363
2660,882,2020,1664,4429
2020,882,2020,1664,5373
2660,3619,5860,2055,4706
100,1273,5860,2446,4871
4580,1273,5220,2446,5111
2020,2837,100,1273,4307
2020,3228,3300,882,3878
3300,2837,4580,2446,4462
3940,882,1380,2055,4534
100,2055,4580,2837,3929
2660,3619,740,2446,4358
2020,1664,740,882,3843
740,2837,2660,882,3962
2660,491,2660,100,4817
1380,882,5860,882,3779
740,100,4580,1664,3375
3300,882,5860,491,4290
3300,491,2660,491,4604
1380,2446,3300,1664,4275
100,1664,2020,2446,3449
5220,1273,3940,882,4514
3300,1273,2020,882,3947
5860,2837,2660,2446,13393
4580,3619,740,2055,4076
5220,491,5220,1273,5317
2020,2446,2020,3619,3670
2660,3619,100,2837,4026
4580,882,2660,2055,4239
1380,100,740,3228,3685
5220,3619,100,2446,4202
3300,1273,3940,100,3914
5860,2837,100,1664,4287
740,100,100,3228,3461
3300,491,2660,3228,4225
3300,2055,5860,1273,3977
2660,1664,100,2837,4316
1380,2055,3300,1273,3887
1380,2055,5860,1664,4397
5220,100,3940,2055,3423
3300,3619,2020,1664,4269
5220,100,4580,1273,3805
5860,1273,3940,2055,4121
5860,3228,3940,100,5059
5860,882,1380,491,4460
5220,3228,5860,2446,4622
5220,100,3940,1664,4605
3300,882,2020,100,3932
3300,100,3940,882,4348
3940,2055,3940,3619,4226
3300,491,740,882,4186
1380,2446,4580,1664,4099
3940,3619,4580,3228,3991
740,2837,4580,2837,3698
2660,491,5860,491,4500
5220,1664,5860,2837,4115
3940,1664,3300,3228,3762
5220,2446,100,2837,3746
2020,2837,100,2055,6322
5860,3619,5220,3619,4448
100,100,3300,1664,3054
2020,3228,100,3228,3534
1380,491,3940,100,3841
3300,100,5220,1273,5195
5220,2837,2020,3619,4183
1380,3619,4580,2055,3831
3940,882,2020,2446,3935
5220,882,2020,1273,4370
100,3228,5220,2446,3716
3300,2837,4580,1273,3891
100,100,740,491,3284
1380,1273,4580,882,4084
5220,3619,2020,2055,4027
4580,100,2020,2837,3865
100,882,1380,100,3240
2020,2055,4580,2055,4373
2020,1664,1380,1273,4591
2020,1273,5860,882,4163
5860,2446,3300,100,4921
5860,2837,100,2055,4329
4580,491,3940,100,5294
3300,100,3940,100,3817
2020,100,2660,2837,3713
100,491,2020,3619,5724
740,1664,1380,491,4217
5860,2446,740,2446,4277
1380,100,3940,3619,3388
3940,2837,3940,1664,4536
5860,2446,740,2055,4340
2660,2055,4580,100,3684
2660,100,3940,3228,4931
4580,3619,2020,3619,4223
3940,100,5860,3619,3322
5860,2055,4580,2446,5325
1380,3228,3300,3619,5177
2020,100,3300,100,4899
5860,100,2660,1273,3820
3940,2055,5860,2837,4163
2020,1664,100,1273,4216
100,3228,3300,491,5076
4580,2837,740,491,4182
740,3228,2020,100,4185
100,3619,740,1273,4695
740,2446,5860,3228,3763
5860,3619,1380,100,4261
5220,2837,5220,2446,4294
3300,3619,3300,1664,4234
2660,100,2660,3228,3840
740,2446,100,2446,6328
100,1273,2660,3619,3344
3300,882,2660,2446,4071
3300,3619,100,1664,5985
2660,1664,3300,3619,4362
740,882,3940,1273,3914
3940,1273,100,491,4400
5220,1664,4580,1273,5282
740,1273,100,1273,3738
1380,491,100,2837,3710
3940,2055,100,882,3813
100,100,4580,3228,3555
2660,491,740,3619,3868
740,2055,1380,1664,3487
4580,3619,740,1273,4447
5860,1273,2660,3228,4511
5860,491,1380,2446,4432
5220,3619,1380,2446,3974
100,491,4580,1664,3693
100,2837,1380,2055,5181
740,2055,3300,3228,4049
2660,882,2660,1664,4086
2660,1664,1380,882,4069
5860,491,3940,2837,3754
3300,2055,4580,2837,4260
740,2446,5220,2837,3480
1380,882,5860,491,3925
740,1664,100,1664,4080
100,2055,3940,3619,3729
1380,100,2660,2837,2994
3300,2055,2020,2446,4086
100,882,2660,2837,3423
2660,1664,740,100,4022
100,491,5860,3228,3629
5860,2055,3300,2446,4155
740,1664,5860,491,4297
100,3619,5220,3619,4058
2660,2055,4580,882,5269
3940,3228,2660,100,3770
3300,2055,100,1273,4189
5860,882,2660,3228,3932
3940,2055,2020,882,4109
5220,100,1380,3228,3865
740,1273,100,491,3746
5860,100,5220,2837,4134
2020,491,2020,3228,4553
5220,3619,3300,2055,3642
3940,1273,5220,1273,4131
100,882,3940,100,3471
2020,3228,2660,1273,3860
5220,2837,5860,882,3814
1380,100,5220,2837,3562
