ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
2660,3619,1380,491,9520
2020,2055,2660,100,13943
100,2446,5220,3619,10227
2020,3619,3940,1273,9408
4580,1273,5860,1273,9522
5220,882,4580,2446,9369
740,3228,4580,2446,9115
740,3228,1380,3228,14202
2660,2055,1380,1664,9601
3300,882,100,2446,10308
5860,2837,1380,3228,9275
3300,2446,2020,1664,9876
1380,1273,4580,1664,9475
3300,1664,740,3228,10832
3940,3619,740,2446,10054
3940,1273,1380,2446,12218
3940,3619,2660,3228,9487
4580,3619,4580,3228,9262
4580,882,1380,2837,9319
2660,491,3940,2055,9626
740,1273,100,3228,11646
5220,2055,3940,1664,10656
5860,100,5860,2055,8865
1380,1273,3300,100,9953
4580,1664,2660,882,10282
1380,2446,1380,2055,9360
2020,2055,5220,2446,9635
2660,2446,3940,3228,9597
5220,491,100,3619,9520
3300,491,100,1273,9397
5220,1664,5220,3619,9957
3940,882,3940,1664,9348
3300,2837,2020,2837,9480
100,2055,3940,882,9487
2660,3619,3300,1273,12507
3300,3228,740,491,9277
100,100,2020,3619,8167
5220,2837,5220,491,10292
4580,100,2660,2837,9378
5860,2837,1380,2837,10479
2020,3619,2660,3619,9760
1380,2446,3940,3619,9015
3940,2446,2020,2837,10587
3940,100,4580,882,8775
3300,100,5220,2446,8160
100,100,2020,2446,8130
2020,1273,4580,2055,10033
1380,491,2660,3228,10075
3300,491,3940,100,12162
5860,1273,5220,2055,9390
4580,100,3940,1664,9558
2020,3619,5220,1273,9034
3940,3619,5220,882,9410
5860,882,5220,491,9756
5860,3228,2660,100,50867
2660,1273,1380,2837,16892
740,100,100,2446,34304
5220,2837,4580,3228,4837
5860,1664,3300,2837,5364
5220,2837,1380,3228,5112
100,491,5220,3228,4441
5860,882,1380,3619,4937
1380,1273,4580,3619,5848
2660,1273,4580,2446,5181
2660,3619,5220,3619,5087
5220,1273,100,1273,4711
100,3228,5220,1273,4687
4580,3619,5220,100,5051
100,2055,3300,100,4552
4580,100,740,491,4074
3300,491,5220,491,4518
5860,3619,3940,491,4897
2660,2837,100,1273,5153
3300,2837,1380,2837,4822
2020,2446,740,2446,4591
2660,2837,2660,2446,4800
3300,2446,1380,2446,8755
740,3619,5220,3228,5104
2020,2055,2020,3228,5134
5220,1664,740,2055,5455
2020,2837,2660,2446,4666
4580,2837,100,2446,5426
4580,2446,740,100,5077
5860,882,1380,2446,4883
740,882,5860,491,4914
3300,100,100,491,4075
740,491,2020,491,4225
2660,882,2020,882,4610
5860,1273,100,2837,5254
3940,1273,3300,2446,5263
2660,2446,5860,3619,4772
100,2055,100,100,4059
3300,1273,2020,2837,4601
3300,3228,3940,491,4740
2660,2837,4580,2837,5187
100,882,5220,3228,4026
3940,3228,5220,2055,5218
740,3619,3940,491,4168
100,1273,5220,1273,4204
3940,100,3300,2055,4525
2660,100,5860,100,4766
100,491,5220,1664,4304
4580,2446,5860,3619,5153
5220,3228,4580,3228,4913
1380,3228,2020,1664,5211
5220,100,5860,1664,4071
1380,1273,740,2055,5169
3940,1664,5860,3228,5447
3940,3619,740,2837,5231
740,100,3940,3619,3788
740,2837,3300,1664,4545
2020,1273,740,3228,4957
3300,2837,100,1664,4563
5860,2446,740,1273,4753
5860,882,4580,2446,5007
740,3619,4580,2055,4717
2660,3619,2660,3619,4732
740,1664,4580,1664,5801
2020,2446,3940,882,5015
3300,882,2660,1664,4944
740,100,740,1273,4041
100,882,2660,491,4054
100,3619,5220,3228,4663
4580,3228,4580,491,5524
4580,882,3300,1664,5016
4580,1664,2660,491,5095
5220,491,3940,3619,4940
3940,2446,2020,882,5281
740,2446,3300,882,4528
4580,100,740,3228,4586
5220,3619,100,882,5179
100,882,2660,1273,4059
2020,2055,1380,1664,5141
100,3619,3940,2055,4385
2660,882,2660,2446,4627
3300,1664,3940,3619,4936
2020,2446,3300,2055,7053
2020,1273,2660,3619,4870
2660,3228,100,2446,4843
4580,491,5860,3619,6955
1380,3228,4580,491,5088
740,2837,2660,2055,4846
2020,2837,3940,100,4657
2660,2446,3300,2055,4575
4580,2837,5220,2055,5621
5860,100,2660,491,5479
3300,2837,100,491,9842
1380,100,3300,882,4414
5220,100,3300,3228,4913
2020,491,3300,882,4630
3940,1664,4580,3228,4479
4580,882,1380,1273,4609
2020,1273,5860,3619,4829
740,2055,2660,3619,4930
2020,882,3940,882,5165
3940,2446,740,882,5241
100,2446,2660,1664,4479
5220,3228,740,2446,4574
1380,3619,5860,2837,4507
2660,1273,5860,882,5574
100,100,3300,2055,4660
2020,491,2020,3619,5575
4580,100,2020,100,4334
2020,1273,100,2055,4690
5220,100,5220,1664,6442
2020,1664,4580,3228,4732
2020,1664,3300,3228,4746
5860,3619,740,2837,6917
3300,882,3300,2837,4797
3940,882,3940,100,5391
100,1664,100,2446,4483
5860,1664,4580,1664,5543
4580,3228,740,100,5461
2660,2446,100,3228,5374
1380,3619,4580,2837,5059
3940,3228,1380,100,4914
3300,2837,3300,3619,5192
2020,882,1380,2055,6407
4580,100,2660,882,4361
100,3228,5220,3619,5900
4580,882,100,2055,4872
5220,100,1380,882,6358
3940,2837,100,3619,5237
1380,2055,2660,100,4888
5220,491,100,2446,4806
1380,100,3300,1664,4389
3940,3228,100,882,5717
4580,491,3940,491,5089
3300,1664,3300,491,4372
100,3228,1380,3228,4741
3300,2055,5860,491,5987
2020,1664,100,100,5053
2660,3228,2660,100,4675
1380,882,3940,100,5127
3300,3228,100,2446,5131
2660,1273,1380,3228,4467
1380,2055,5220,2837,4873
3940,491,4580,100,5016
2020,3228,5220,491,5140
100,100,3940,2837,4253
5860,1664,740,882,5263
5220,3228,4580,2055,5513
1380,491,2660,2446,4623
