n,m,runtime
3,0,132
2,1,138
0,0,65
1,2,86
2,1,115
3,3,7892
2,3,238
1,2,83
1,3,95
0,1,67
2,2,165
2,2,158
2,1,113
2,2,171
1,0,76
3,0,165
2,2,153
3,1,434
2,1,103
1,3,105
2,1,117
1,3,94
2,1,110
0,2,62
2,1,107
2,0,139
3,3,8237
1,2,75
1,3,82
1,0,65
2,2,118
1,2,59
0,2,51
1,3,80
2,2,119
0,1,61
1,1,108
1,2,75
2,2,144
2,1,100
3,3,7088
1,1,79
3,1,350
2,0,72
1,2,82
1,2,151
2,1,101
1,1,73
1,0,74
2,3,147
0,2,51
1,3,78
1,3,80
1,3,68
1,2,62
1,0,89
2,2,155
1,2,71
2,3,188
0,0,60
2,0,93
0,1,53
3,2,1647
0,0,51
2,3,185
0,2,68
3,1,376
3,1,334
2,2,161
2,2,127
3,2,1346
0,1,59
1,0,69
2,0,75
1,0,61
1,2,135
1,0,63
2,3,181
1,0,78
2,3,178
0,1,63
2,2,143
0,2,68
1,1,77
3,2,1272
1,2,109
2,3,191
2,3,197
2,2,121
2,0,86
0,1,64
2,2,116
2,1,117
2,0,75
0,3,78
2,2,179
3,2,1459
3,3,7245
2,3,193
1,2,90
1,1,82
1,1,68
2,3,189
1,3,99
1,2,79
3,2,1405
2,1,102
3,1,307
1,2,80
3,2,1283
2,3,162
3,3,7180
1,2,79
1,0,81
0,1,69
2,1,147
0,0,66
1,1,62
1,2,81
2,2,125
3,2,1417
2,2,110
1,2,66
3,0,114
0,1,52
2,0,138
1,0,78
1,2,75
2,2,129
0,2,63
3,2,1464
0,1,62
2,1,128
1,2,70
0,1,60
2,0,111
0,1,55
2,3,158
2,3,181
2,2,109
1,2,78
0,1,66
3,2,1422
0,2,59
1,3,88
2,2,206
2,1,99
1,2,85
2,3,194
2,1,111
1,0,80
1,2,68
2,0,81
3,2,1522
1,1,83
0,0,59
3,2,1440
1,2,245
1,2,80
0,1,73
1,1,76
1,1,65
3,2,1502
1,3,88
2,1,116
2,1,159
1,1,72
0,1,66
1,3,106
1,0,73
1,2,77
2,1,115
1,1,71
1,2,70
0,2,58
2,2,166
0,1,69
0,0,60
0,2,64
2,2,134
2,1,102
1,3,112
2,2,114
1,2,90
0,1,60
1,2,211
2,2,138
3,1,357
0,3,64
1,1,78
0,3,68
1,1,71
1,3,101
3,2,1578
1,2,70
1,3,136
1,0,82
2,1,88
1,3,80
0,2,61
0,1,64
1,1,67
2,3,194
1,0,79
1,3,83
3,1,462
1,2,82
2,3,219
1,2,69
1,2,59
0,0,68
3,1,393
2,1,104
3,1,385
1,1,83
1,2,142
2,1,116
2,1,93
0,2,65
3,1,403
1,0,69
2,2,143
3,2,1522
2,1,108
1,1,67
0,1,62
0,1,61
1,2,112
2,1,116
1,2,63
3,2,1730
2,2,138
3,2,1435
2,0,109
2,2,127
2,2,185
3,0,131
2,2,121
2,2,134
0,1,63
1,1,63
0,0,59
3,1,411
1,1,80
1,0,80
1,3,147
2,2,129
3,1,407
1,1,81
1,0,79
1,0,74
2,3,179
1,3,84
0,1,68
0,3,72
1,2,126
2,3,238
1,2,73
0,1,61
2,2,157
2,2,136
1,2,71
0,1,70
2,2,163
2,0,81
3,0,184
3,2,1595
2,2,130
1,1,89
1,1,71
1,0,69
0,2,68
1,1,65
1,0,71
2,1,113
1,0,86
2,2,160
2,2,141
2,0,95
2,2,154
2,2,109
2,1,102
2,0,75
3,0,144
1,2,88
2,2,178
2,1,97
1,0,71
1,2,84
0,1,73
1,3,102
1,2,70
3,0,121
3,1,386
2,1,120
2,2,163
2,3,186
1,1,84
0,0,70
2,2,133
2,2,151
2,2,137
3,1,358
2,1,82
3,2,1396
2,1,148
1,1,80
1,2,86
2,1,106
2,2,129
0,2,72
2,1,114
2,1,93
0,1,67
3,1,391
3,0,171
1,0,83
2,2,131
1,1,75
1,2,94
1,3,89
1,2,62
1,2,98
1,2,78
2,2,150
3,0,166
2,2,159
3,3,7810
3,2,1752
1,2,98
1,3,91
1,2,69
1,3,95
1,1,78
1,1,73
0,2,76
2,1,137
1,0,63
2,1,105
2,1,100
2,2,155
2,1,111
0,0,55
1,2,91
3,3,8030
2,3,260
0,0,85
0,1,57
3,0,154
2,1,109
0,2,72
1,3,102
2,0,84
1,2,70
3,2,1748
2,2,163
1,1,105
0,1,72
2,2,163
2,0,89
3,2,1491
1,2,79
2,2,126
3,2,1428
1,3,68
1,0,91
1,1,100
0,1,76
1,1,179
2,2,152
1,3,86
1,1,69
2,3,204
2,3,200
2,1,92
0,0,80
2,3,264
1,2,92
1,0,93
2,3,229
3,2,2020
3,1,448
3,1,448
1,2,83
2,2,146
2,1,135
1,1,76
1,2,89
3,2,1677
2,3,200
1,2,86
1,0,72
0,1,70
1,2,83
3,1,396
1,2,116
3,2,1792
2,2,141
2,2,128
0,2,64
1,2,97
1,1,101
0,0,63
2,2,146
1,2,80
0,2,70
1,1,110
3,2,1637
0,1,76
0,0,64
3,0,142
2,1,98
1,1,84
1,1,72
1,1,85
0,1,73
3,0,163
1,0,81
3,2,1731
2,3,225
2,1,110
2,2,134
0,0,62
1,0,74
1,2,81
1,0,98
3,0,142
2,2,153
2,2,155
1,3,95
2,1,113
3,3,7837
2,2,136
1,2,78
2,1,135
1,3,120
1,2,75
2,2,144
2,2,131
1,1,84
0,3,77
0,1,74
2,0,99
3,3,7677
3,0,136
2,0,118
1,1,90
1,1,82
2,1,126
2,0,76
0,1,67
0,3,68
0,2,61
1,1,83
1,2,96
3,2,1867
2,2,144
2,3,207
1,3,104
3,2,1624
1,2,81
1,1,85
3,2,1394
0,1,62
0,0,65
1,2,114
3,1,439
1,0,80
1,3,107
3,2,1680
2,1,113
2,2,147
1,3,81
1,1,82
0,1,60
0,3,69
1,0,85
2,0,116
1,1,96
2,0,100
2,1,97
3,2,1758
1,2,95
1,2,80
3,2,1787
3,1,460
1,1,98
3,2,1625
1,1,79
0,1,62
1,0,77
3,2,1608
0,1,65
2,2,148
1,3,108
2,3,231
2,2,137
0,1,66
2,2,147
2,3,215
2,3,208
3,2,1519
0,2,69
2,0,95
2,1,84
2,1,131
1,0,73
2,2,156
2,3,195
1,1,80
1,2,95
2,1,117
2,0,93
3,3,7638
0,3,79
1,2,110
3,3,7743
2,1,99
1,2,86
0,1,68
2,3,195
0,3,65
3,0,149
2,3,211
1,2,80
2,2,203
0,3,73
2,0,95
1,1,85
1,2,95
1,2,79
1,0,64
0,3,63
1,3,107
2,1,138
1,1,144
3,1,393
0,1,57
2,3,190
1,1,89
2,3,232
2,0,90
0,2,62
3,1,436
1,1,95
2,0,104
1,1,70
2,1,128
1,1,75
2,3,205
2,0,88
0,0,67
2,2,174
2,1,129
2,0,76
0,2,75
2,2,167
3,0,145
1,2,92
0,1,78
0,1,61
2,0,113
1,1,84
1,1,94
1,1,76
2,1,144
1,0,83
0,1,68
1,0,71
1,0,88
3,1,403
0,0,70
3,2,1599
2,2,175
0,2,63
2,2,166
0,1,74
2,3,215
0,2,66
2,0,86
2,2,145
2,3,182
0,2,66
2,2,157
2,1,118
1,0,106
3,1,473
0,1,64
0,1,65
1,1,97
0,2,65
1,0,78
3,1,398
1,1,90
1,1,79
3,2,1561
2,2,155
3,2,1436
2,1,116
2,1,99
2,1,106
2,3,207
2,1,108
0,3,61
0,1,60
2,1,165
1,1,77
0,3,67
1,1,85
1,2,130
1,1,86
0,1,60
2,2,141
2,1,101
1,2,93
1,2,109
2,2,167
2,1,100
1,0,80
2,1,96
3,1,400
2,1,127
2,2,145
1,1,75
1,3,99
1,1,101
1,0,71
2,3,222
2,3,218
1,1,71
3,1,442
2,2,147
0,1,78
1,1,78
1,1,72
1,1,84
2,0,108
0,3,63
2,3,218
1,1,95
1,2,120
1,2,85
2,3,192
2,0,89
2,0,90
2,2,182
1,1,77
0,3,67
2,2,148
1,2,109
2,3,227
3,2,1869
2,2,146
0,1,70
0,2,62
1,1,119
3,0,144
2,3,188
1,1,76
0,2,67
2,1,121
1,0,87
2,0,87
2,2,190
1,3,111
2,0,109
2,1,139
2,3,206
1,2,110
3,2,1568
3,2,1414
0,3,65
1,1,86
0,1,68
1,3,109
2,1,121
0,1,76
3,2,1691
2,2,169
3,1,417
0,1,67
1,2,98
1,0,80
0,2,67
2,3,200
1,3,125
2,1,104
3,3,187833
1,1,109
2,1,143
3,3,7825
3,2,1764
0,2,76
2,2,150
3,0,167
3,2,1614
3,1,371
1,2,85
1,1,76
2,3,195
0,1,66
0,3,64
1,0,76
1,2,103
2,1,99
1,1,123
0,1,62
3,2,1498
2,1,108
3,0,118
1,0,84
3,2,1436
1,2,71
1,1,75
2,1,103
0,2,60
1,0,76
2,0,116
2,0,79
3,3,7788
0,0,77
2,2,151
2,3,193
3,2,1419
1,2,78
2,1,163
0,1,77
1,2,91
3,3,7803
2,2,139
1,2,82
1,3,80
2,1,105
2,1,100
2,0,87
2,3,258
1,1,88
2,0,91
2,0,89
2,1,111
1,1,75
2,0,60
1,3,102
1,1,86
1,3,88
2,2,179
2,3,222
1,2,105
3,2,1693
2,2,175
2,3,200
1,1,80
1,0,74
2,2,194
2,1,117
2,3,249
2,1,113
1,2,104
1,1,92
2,1,118
1,2,85
1,0,69
1,1,87
2,2,195
0,1,77
1,0,82
1,3,140
1,2,87
1,3,99
2,1,123
1,0,97
0,1,60
0,2,62
1,0,73
1,3,109
2,3,254
2,3,244
2,2,172
0,2,69
1,2,106
2,2,135
1,2,60
0,1,62
2,2,127
2,1,101
2,2,183
1,1,93
2,0,95
2,1,111
3,2,1602
0,2,68
3,2,1573
1,1,93
1,1,89
2,3,184
2,3,235
3,1,390
0,1,62
2,1,121
3,3,7503
3,1,336
2,0,75
1,0,66
2,2,161
2,1,100
2,0,111
2,3,212
2,1,104
2,3,211
0,2,69
1,1,65
1,0,65
2,1,130
1,0,79
3,3,7914
1,3,153
3,0,148
3,1,377
2,3,209
0,2,63
2,0,92
2,3,159
2,2,155
2,2,118
2,2,141
3,2,1874
1,1,88
1,2,95
0,1,71
0,1,73
3,2,1725
0,3,67
1,0,80
0,1,70
2,2,144
0,3,68
1,1,85
2,1,110
1,3,101
0,1,56
2,1,122
1,2,82
1,3,95
3,2,1900
1,1,91
0,1,163
2,1,144
2,2,154
1,2,97
2,2,151
2,3,184
0,2,67
2,1,122
2,2,156
2,3,211
0,1,56
0,0,67
2,2,177
1,2,91
1,1,77
0,2,63
2,0,83
1,1,88
2,2,158
2,2,153
3,2,1739
1,3,110
1,1,79
2,0,88
1,1,78
1,1,89
1,0,76
2,2,171
2,0,105
1,0,86
2,3,263
1,1,80
0,1,71
3,2,1415
0,3,63
1,3,98
2,1,108
1,2,91
1,3,87
1,1,79
2,2,201
1,2,92
0,3,75
3,3,7814
0,2,69
0,2,78
2,2,150
1,2,82
2,1,122
2,1,125
1,2,107
2,1,118
0,1,59
1,2,71
2,3,203
0,3,72
3,1,390
1,1,93
1,1,79
0,3,65
2,3,253
1,1,84
0,0,57
1,1,90
0,0,58
2,0,87
3,2,1467
3,1,358
0,2,69
0,0,64
0,1,64
0,1,66
3,2,1757
1,1,78
0,2,59
2,1,111
1,3,99
1,2,106
1,2,74
3,3,7846
0,3,89
0,1,62
1,2,111
0,0,69
3,3,7601
1,2,95
1,2,73
1,2,74
2,2,136
2,0,85
2,1,143
2,2,171
1,2,80
1,3,106
2,3,217
2,3,200
0,0,71
3,1,391
0,2,68
2,2,149
2,1,142
1,0,87
3,3,7869
1,0,80
3,3,7396
2,0,92
2,0,82
0,2,67
2,2,151
1,1,80
0,0,70
2,1,139
1,2,84
2,3,229
1,2,110
2,3,183
2,1,105
3,3,7280
2,1,106
2,1,95
2,2,194
2,2,159
1,2,78
1,2,86
2,0,105
2,2,153
0,1,78
1,2,83
1,3,100
2,1,115
1,3,134
1,2,82
1,3,85
2,1,115
2,1,122
3,1,430
1,2,103
0,1,75
3,3,7751
1,3,120
1,0,99
1,0,70
3,3,7835
0,3,78
2,1,105
1,1,101
2,1,119
2,0,102
2,1,121
3,1,359
1,2,118
3,1,400
1,1,91
2,1,125
0,2,68
0,3,73
2,1,115
2,2,169
1,3,99
1,1,87
1,1,115
2,0,108
3,3,7627
3,1,345
0,3,69
3,1,346
2,0,115
0,3,63
3,2,1423
2,2,183
3,2,1956
0,2,67
0,3,65
2,0,103
0,1,54
3,2,1424
2,1,99
2,3,195
0,0,70
1,2,93
2,0,124
2,2,179
1,2,82
1,2,69
2,1,118
1,0,82
1,3,102
1,2,76
2,1,117
2,1,121
2,3,241
3,2,1704
2,1,104
2,2,157
0,2,66
3,3,7765
3,2,1425
1,2,92
1,3,91
1,2,77
1,0,84
3,2,1637
1,3,130
0,0,66
2,1,124
2,3,209
1,3,98
1,1,88
3,1,379
2,1,106
1,1,100
2,0,99
1,2,76
3,1,421
1,2,75
1,3,96
1,2,73
2,1,106
1,0,68
0,1,68
1,1,133
0,3,62
3,2,1592
1,0,82
0,1,49
2,1,112
1,3,96
1,2,76
3,2,1608
1,0,54
2,1,153
0,2,70
3,0,137
0,1,61
1,1,87
1,0,84
2,0,111
1,3,95
1,2,71
0,1,72
1,2,116
3,1,420
1,3,103
0,2,65
1,2,80
3,3,1216738
0,0,73
3,0,219
2,1,223
1,1,98
2,3,426
2,0,113
1,0,78
2,0,76
0,3,60
2,0,77
2,3,229
0,3,56
3,0,167
2,1,157
1,2,173
3,2,1950
3,0,173
3,0,120
2,1,160
0,1,60
3,1,460
2,2,181
1,1,117
1,2,85
2,1,205
0,1,62
0,1,69
2,1,136
1,2,137
0,2,68
3,2,1689
0,2,68
2,0,111
3,3,7993
2,3,287
3,1,424
2,1,100
2,0,100
1,1,91
3,1,361
0,1,58
3,0,263
1,3,130
0,0,60
1,2,127
3,2,1573
1,2,101
2,2,188
0,1,59
3,2,1467
2,0,76
1,2,79
2,2,130
0,2,58
2,3,244
2,2,144
2,0,67
0,1,53
3,0,119
2,3,153
2,3,152
2,2,128
1,0,74
3,3,6814
1,2,103
2,0,80
1,2,66
3,1,325
2,2,110
3,2,1304
2,2,111
2,0,88
2,2,121
2,2,116
0,1,57
1,0,56
1,2,112
0,3,50
0,3,56
1,1,98
3,1,294
0,0,56
2,2,126
1,1,61
2,3,216
3,1,391
0,1,60
0,2,52
2,0,78
0,1,50
2,3,223
2,0,77
1,1,88
1,3,115
3,1,335
0,1,50
3,0,114
3,2,1468
2,0,88
1,2,73
2,1,96
2,3,174
1,1,71
1,2,83
0,3,70
1,1,191
0,2,52
3,1,451
0,2,59
3,2,1439
2,3,193
2,1,121
0,3,75
0,0,55
0,3,73
1,0,92
3,1,389
2,3,217
1,2,87
0,3,63
2,0,79
0,0,55
0,2,55
3,0,102
2,2,217
1,3,95
0,3,60
2,3,212
0,2,59
2,2,156
2,2,139
3,2,1545
3,2,1503
2,2,142
2,2,219
2,3,172
0,1,71
1,3,105
0,1,60
3,2,1718
1,2,94
3,1,385
0,0,65
2,0,95
1,3,160
1,0,78
2,1,116
2,2,149
1,3,84
2,3,215
2,2,149
3,3,7548
0,3,70
1,2,72
1,2,151
0,1,66
2,2,139
3,3,8138
1,3,94
1,1,75
2,2,146
0,2,68
1,3,82
1,1,71
3,2,1470
0,2,78
1,0,93
3,1,349
2,1,132
0,0,63
2,2,147
0,1,60
3,1,525
1,1,93
1,2,114
3,2,1629
1,1,81
3,3,8407
3,1,395
1,2,88
1,3,105
2,0,102
2,2,126
2,0,80
3,1,410
2,0,70
1,2,87
2,2,137
3,0,188
2,0,90
0,3,68
2,1,111
1,0,83
2,2,174
1,2,107
1,2,72
2,0,77
3,0,130
1,3,91
2,3,191
2,2,128
1,1,84
1,1,86
1,1,75
2,3,245
1,2,73
0,1,55
1,0,89
1,1,69
2,1,100
0,1,66
2,1,92
1,1,65
2,0,83
2,1,174
2,1,101
0,1,57
2,3,165
1,2,75
1,0,64
3,1,303
3,0,99
2,1,102
3,0,102
3,2,1533
2,0,59
3,1,308
1,1,82
3,2,1662
3,0,117
0,2,63
2,2,138
2,3,190
2,2,107
2,1,119
0,1,54
2,2,118
3,0,108
2,2,146
1,1,62
3,2,1657
3,2,1516
1,3,100
2,1,139
0,2,81
2,2,172
1,2,87
0,1,72
1,1,96
2,3,221
2,1,98
3,3,6321
1,1,75
1,0,76
2,0,115
1,1,90
1,3,102
0,2,63
1,2,80
0,0,64
1,2,83
1,1,84
1,1,75
2,2,136
2,3,497
3,2,1625
2,2,145
0,2,73
2,2,138
3,3,7284
1,3,115
2,2,155
1,2,80
2,2,165
2,1,144
1,0,81
3,1,373
1,3,92
1,1,65
1,1,98
1,0,169
3,1,351
1,3,94
2,1,110
1,0,92
2,0,143
2,3,196
2,3,195
0,1,75
1,1,82
1,1,75
0,3,55
1,2,83
2,0,94
2,2,227
1,2,84
1,2,105
3,2,1558
1,2,88
1,1,89
2,3,185
0,2,60
2,0,89
2,3,223
2,0,122
2,2,134
0,2,63
1,3,118
1,2,92
2,0,93
0,2,59
0,2,72
2,1,118
2,0,75
1,3,133
1,0,79
1,1,61
3,2,1316
3,2,1235
2,2,115
1,0,71
2,1,80
1,1,76
2,1,110
3,1,444
0,1,72
3,2,1854
1,2,93
2,1,116
2,3,207
1,3,98
1,2,81
2,3,213
0,2,60
3,1,420
3,0,117
1,0,91
1,2,94
1,1,72
2,0,82
3,3,7908
1,3,112
1,3,102
2,2,145
3,0,190
3,3,8097
1,2,111
2,1,101
3,0,130
0,0,66
2,2,172
1,2,69
1,2,79
0,3,62
3,2,1509
3,2,1557
2,2,135
1,2,88
2,2,139
3,2,1638
1,2,79
0,2,78
2,3,220
3,3,7680
3,3,7387
0,3,64
1,3,103
1,1,91
2,2,128
1,1,80
0,0,73
2,3,191
2,1,122
3,2,1413
2,3,249
1,2,81
2,2,131
1,1,88
1,3,91
1,2,71
0,2,72
1,1,83
1,0,76
2,1,78
2,1,163
2,2,286
3,1,563
1,2,83
1,0,81
1,2,105
2,0,96
2,2,151
1,1,79
0,1,71
1,1,106
2,1,102
3,2,1776
2,1,118
2,3,167
2,0,72
0,3,165
2,1,100
0,1,66
3,0,133
1,2,121
3,3,7507
2,2,133
1,2,83
3,2,1435
2,2,120
0,2,73
0,0,55
2,1,113
3,0,130
2,3,254
2,1,113
1,2,78
2,2,161
1,3,98
0,2,74
2,1,103
1,2,78
2,1,125
3,2,1403
2,2,200
2,1,120
2,2,184
3,3,8390
0,2,71
1,3,86
0,3,64
2,2,144
2,1,119
3,1,426
0,1,66
1,3,137
0,1,70
2,3,218
1,2,90
1,1,78
2,0,83
2,1,119
0,2,71
1,2,175
3,0,199
2,3,212
3,2,1596
2,1,127
2,1,112
1,2,90
2,2,125
1,2,85
2,1,108
1,2,79
0,3,81
3,3,7737
1,0,100
3,2,1845
2,2,139
2,3,182
2,1,93
2,1,94
1,2,81
1,3,98
2,1,172
1,1,82
1,0,79
0,1,75
1,2,102
3,3,7649
3,2,1459
3,1,336
3,1,334
1,1,96
2,3,215
2,3,184
0,2,69
1,2,103
3,0,105
1,0,81
2,1,107
3,2,1557
1,2,83
3,1,302
2,2,177
1,0,73
2,0,80
3,1,321
1,1,79
2,3,164
2,1,111
2,0,84
0,1,61
1,3,77
2,2,203
2,3,163
0,2,56
2,1,97
2,0,78
0,3,54
2,2,125
0,2,63
2,1,92
2,0,78
1,1,99
0,0,58
1,0,68
2,1,105
0,1,53
2,2,139
1,3,95
1,3,69
2,0,96
3,1,370
3,1,387
2,2,110
2,1,93
0,0,55
3,0,138
1,2,83
0,2,60
0,2,55
1,1,95
1,0,94
0,2,69
1,2,106
0,1,62
0,0,74
0,3,68
3,1,386
3,3,7597
3,3,6623
0,0,62
0,3,55
2,1,157
3,2,1520
1,1,73
2,0,104
2,1,88
2,3,159
2,0,83
2,3,176
1,1,78
1,3,94
1,1,121
0,1,59
2,2,147
2,3,180
2,1,121
1,0,80
0,3,146
1,1,79
1,0,73
2,2,129
1,2,137
0,2,69
3,2,1548
3,1,342
3,1,330
1,2,85
3,2,1464
1,3,83
1,3,73
1,1,88
2,2,212
3,3,7812
2,1,111
3,3,7266
1,1,87
2,1,90
0,1,64
2,1,103
2,3,191
1,2,80
2,2,167
2,0,92
2,0,79
2,1,84
1,1,75
1,0,86
1,2,75
3,2,1394
0,2,75
1,1,77
1,0,80
2,1,148
0,2,74
2,3,168
0,3,59
3,0,125
3,1,353
0,2,56
1,1,69
3,1,388
1,0,54
2,3,234
2,2,139
2,3,197
2,2,150
2,2,136
1,3,98
1,1,78
2,2,138
2,2,113
1,3,164
1,1,63
0,3,55
0,1,56
0,1,57
1,1,70
2,2,107
3,0,124
3,2,1433
2,1,86
1,1,116
0,3,63
3,3,7501
0,0,59
2,1,103
1,3,88
2,1,83
0,1,59
3,2,1438
2,2,142
2,1,129
3,1,471
1,1,85
2,0,91
2,2,141
2,0,83
2,0,66
3,2,1400
3,1,358
2,3,195
2,1,148
3,2,1609
1,2,110
2,1,94
1,2,68
0,2,69
2,2,137
2,2,104
1,0,80
1,1,62
1,0,69
1,0,68
1,2,125
1,3,84
2,2,149
2,0,85
3,2,1293
3,2,1481
1,2,64
0,3,56
2,1,151
1,0,86
2,0,75
3,2,1385
2,0,81
1,1,68
1,2,77
2,1,82
2,3,168
2,2,148
2,3,259
1,1,72
3,2,1319
2,2,111
2,2,168
0,3,53
3,1,396
3,2,1640
0,3,56
1,1,77
0,3,69
0,1,52
2,3,201
1,1,80
1,2,77
1,2,97
0,0,65
2,2,111
3,1,353
2,2,133
1,1,113
1,2,75
0,3,57
2,1,97
3,1,301
1,1,80
2,3,221
1,1,66
1,2,65
2,0,93
0,0,56
3,1,382
1,2,92
1,2,87
1,1,61
2,3,178
0,0,62
1,3,63
2,1,75
3,0,129
0,2,64
3,2,1515
1,2,73
0,3,49
0,1,55
1,3,88
2,2,141
0,0,56
2,2,147
2,2,147
2,3,222
2,0,99
0,1,69
1,1,87
1,3,98
0,0,61
0,1,61
3,2,1531
0,0,64
2,2,125
3,3,8680
0,3,76
0,2,63
3,2,1398
2,1,125
2,3,214
1,2,84
2,2,157
0,2,64
0,2,67
0,3,70
0,3,66
0,3,63
1,1,130
1,2,94
1,3,108
0,1,71
2,0,95
3,0,139
2,0,88
0,1,67
0,1,70
0,1,66
0,2,56
1,3,142
2,1,110
1,2,69
1,2,93
0,1,65
2,0,94
2,2,238
2,2,147
0,1,72
0,3,67
2,3,219
3,0,146
1,0,90
2,0,83
3,2,1595
2,0,80
1,0,103
0,1,69
1,3,140
1,2,70
1,2,67
1,1,88
2,2,158
2,0,82
0,1,71
3,2,1604
2,0,122
2,3,245
2,0,83
3,1,422
0,0,67
2,1,126
2,1,112
0,1,71
0,3,66
3,1,404
1,1,108
3,2,1780
3,0,130
2,1,131
1,2,75
1,0,78
0,2,74
1,2,81
1,1,83
2,2,140
2,2,187
0,3,65
2,3,218
0,2,60
1,2,97
1,2,80
2,2,154
3,2,1793
1,0,71
2,3,212
1,3,116
3,2,1724
1,2,94
1,2,71
2,0,79
3,2,1864
1,1,94
2,0,88
3,1,433
0,2,68
2,2,182
2,2,160
2,2,164
1,1,91
1,2,90
1,3,119
3,1,448
0,2,70
1,1,89
1,2,72
0,2,108
2,2,185
2,2,159
2,0,89
1,2,99
0,1,64
0,1,71
2,0,84
2,1,109
1,2,70
0,1,67
2,2,163
1,2,65
2,1,114
0,2,62
3,2,1649
3,1,398
3,2,1351
1,1,78
1,2,58
1,2,137
1,0,72
1,1,73
0,2,57
0,1,64
2,3,182
2,0,78
1,2,75
0,2,66
3,1,331
1,1,106
2,2,145
2,2,142
2,2,146
2,0,87
2,1,111
1,3,104
3,1,321
3,0,118
2,2,129
2,1,118
0,0,51
2,1,90
2,0,69
2,2,133
1,3,78
1,2,64
3,1,330
0,2,68
0,1,62
1,1,126
1,1,89
2,3,210
2,2,157
0,1,73
0,3,72
2,1,115
1,0,81
1,1,79
3,2,1441
1,2,124
1,1,96
1,2,83
2,1,121
0,3,70
1,1,89
2,2,162
1,1,83
0,2,74
0,1,73
1,1,115
3,1,398
1,0,71
3,2,1429
2,1,97
2,1,103
3,1,350
3,2,1108
0,2,55
2,0,75
1,1,117
3,2,1249
0,3,55
0,1,50
2,2,114
1,2,93
2,2,136
1,1,70
1,3,84
3,0,114
2,2,190
3,3,7816
1,2,84
2,1,116
2,2,163
2,1,98
1,0,79
2,1,252
0,3,58
1,2,69
2,2,215
0,2,68
1,2,101
1,2,99
3,1,415
1,1,87
1,2,91
2,2,154
3,3,7607
3,2,1565
1,1,107
2,2,233
2,1,98
1,2,88
2,2,120
1,2,88
1,2,74
1,3,95
0,2,58
2,1,112
1,3,152
3,3,8208
3,3,7270
0,2,101
1,1,81
0,0,53
1,3,92
2,2,141
1,2,66
2,2,153
0,1,59
1,1,105
1,1,77
0,1,58
2,1,101
1,2,100
0,0,58
3,2,1549
1,2,69
1,3,92
2,2,185
2,3,162
1,1,89
3,3,7032
1,2,77
3,1,380
3,1,417
1,1,72
1,2,87
1,2,73
0,2,65
1,1,110
2,2,160
1,3,106
3,1,328
0,1,70
2,1,108
1,2,74
3,1,377
2,0,101
0,2,55
1,0,67
2,0,104
1,2,84
2,1,102
0,1,62
2,3,213
0,1,67
1,1,80
0,0,62
0,1,59
3,1,505
0,0,63
2,2,162
2,0,67
2,2,130
2,2,111
0,2,56
2,1,81
2,2,130
1,2,144
2,0,73
3,0,146
2,0,73
2,0,72
2,1,119
3,2,1737
0,3,58
3,0,98
3,1,357
0,1,67
1,2,114
0,2,64
2,2,126
2,0,85
2,3,227
2,1,124
1,1,76
0,2,64
1,1,74
2,2,256
2,2,168
0,0,59
2,2,157
0,3,64
1,2,101
2,1,214
1,2,83
2,1,95
2,0,88
0,3,71
1,0,84
2,1,136
2,2,161
1,2,88
3,3,7473
3,2,1819
0,2,68
1,2,95
1,0,92
0,2,73
2,2,142
2,2,139
1,1,86
3,1,377
1,2,103
3,1,336
2,2,108
2,3,168
2,2,103
1,1,111
3,3,6916
2,3,167
0,0,61
2,2,132
1,2,84
1,2,83
3,1,310
1,0,81
2,1,79
2,3,222
3,0,166
1,2,99
2,3,208
1,0,69
1,1,79
2,1,123
2,3,199
2,0,67
2,1,99
0,0,65
2,0,101
2,1,101
2,0,73
2,0,72
3,0,127
2,3,201
0,1,63
0,2,71
2,1,110
1,1,136
1,2,75
2,0,84
2,3,181
3,2,1819
1,2,83
1,1,90
2,3,222
3,3,7962
2,1,101
2,0,114
3,0,134
2,1,99
3,2,1577
3,1,341
2,1,97
1,1,66
2,2,127
1,2,85
1,2,75
3,1,501
1,2,62
0,2,58
1,3,90
1,2,68
2,2,137
3,1,401
1,2,59
0,3,62
0,2,63
1,1,212
0,2,62
0,2,59
3,3,7577
2,0,83
1,2,73
1,1,83
2,3,181
1,0,88
2,1,87
3,0,202
1,3,114
1,2,69
2,3,225
0,1,73
1,3,94
2,0,85
3,3,7209
1,3,93
1,1,87
0,2,71
0,0,67
1,2,132
3,0,123
3,2,1717
1,1,95
2,1,87
2,1,109
2,1,119
0,3,53
0,3,70
2,2,182
1,2,76
0,3,67
2,2,141
2,1,99
2,3,224
1,3,100
3,2,1583
3,2,1701
2,2,226
0,0,80
2,1,111
0,0,53
2,0,78
2,2,136
3,1,481
1,1,86
3,1,416
0,1,57
2,1,158
1,1,90
1,2,71
0,0,79
1,3,89
2,0,111
0,2,67
1,2,80
2,1,115
1,2,72
3,3,8019
2,0,102
1,3,90
0,2,73
3,2,1600
3,0,119
1,2,86
2,0,94
1,2,80
2,1,216
2,3,243
3,0,129
2,1,110
3,1,411
3,1,365
3,1,394
2,1,113
3,0,135
0,2,64
0,0,50
3,3,8033
1,1,87
2,1,126
0,1,61
2,2,166
1,2,81
3,2,1616
1,0,92
2,1,111
3,2,1406
1,2,136
2,0,92
2,2,156
