n,m,runtime
2,1,210
2,1,222
2,0,191
0,3,149
2,3,308
3,2,5854
3,0,199
2,0,81
2,0,66
1,2,86
3,2,1724
1,1,100
2,1,97
2,3,245
2,2,156
1,1,145
1,2,76
1,2,96
2,3,255
2,2,210
2,3,211
1,2,78
1,2,67
1,2,62
1,1,77
2,2,250
1,2,89
1,2,71
1,2,68
0,3,76
3,2,1583
1,0,89
2,2,194
2,0,106
1,2,80
1,3,205
3,2,1894
2,3,240
1,2,123
3,2,1656
2,1,137
0,2,103
0,1,50
3,2,1505
2,0,128
1,1,180
2,2,159
1,3,92
2,3,199
2,3,197
0,0,66
2,1,142
0,2,52
3,1,469
3,0,143
1,1,158
2,0,103
1,0,68
2,2,168
2,2,166
2,2,144
2,1,105
0,1,64
3,3,7744
1,1,121
1,1,135
3,1,430
3,2,1578
1,0,83
1,2,107
1,3,86
2,3,202
2,2,135
1,1,82
1,0,68
2,2,235
3,1,428
3,3,8054
2,3,230
2,0,83
1,0,80
3,1,420
1,1,101
1,1,79
2,3,208
2,1,171
2,2,212
3,2,1723
1,1,88
3,1,358
2,2,159
2,2,139
1,1,75
3,2,1445
2,3,223
3,2,1701
1,3,98
1,1,95
3,0,149
1,2,79
2,2,125
2,2,140
2,2,149
1,1,66
2,2,116
2,2,443
2,2,162
0,3,170
3,0,153
0,2,59
1,2,94
3,1,401
2,0,86
2,2,150
0,0,68
0,2,124
2,1,180
0,1,70
3,1,369
0,0,60
3,1,363
2,0,87
2,2,150
3,0,123
3,3,7778
0,2,121
3,1,342
0,0,53
0,0,71
2,0,105
2,2,160
1,2,92
2,2,154
2,1,128
2,1,95
2,2,198
1,3,116
3,2,1538
0,1,65
2,1,115
2,1,89
3,0,124
1,2,97
0,2,70
2,0,109
2,1,176
2,2,165
2,1,101
3,2,1704
0,1,79
2,1,105
0,2,63
3,1,401
2,3,234
2,2,158
2,1,219
1,2,102
2,3,240
2,1,121
2,2,152
2,3,219
3,1,382
1,0,85
1,1,84
2,2,138
3,1,442
3,0,141
2,2,177
2,0,105
2,3,241
2,2,122
2,2,155
0,2,71
3,2,1677
2,1,117
1,1,148
2,2,146
1,1,64
1,3,100
0,1,66
1,3,71
3,1,368
0,2,55
2,3,194
0,2,58
1,1,163
2,1,131
2,2,127
2,1,95
1,1,73
0,3,84
2,2,160
2,0,103
2,2,147
0,1,69
1,1,182
2,2,175
1,3,104
3,3,7863
3,1,346
0,2,89
1,2,85
1,1,79
1,0,85
2,2,146
1,2,166
3,3,7657
2,2,156
1,2,79
1,2,86
3,1,381
2,1,85
3,1,358
1,3,91
0,3,67
0,0,113
2,3,236
0,3,66
1,1,74
2,2,124
2,3,196
1,0,84
2,0,94
1,1,64
1,1,77
2,3,308
0,1,66
1,0,79
1,3,96
1,2,85
2,2,144
1,3,88
2,2,146
3,1,451
2,2,142
2,2,225
3,1,417
3,3,7671
2,2,129
2,2,138
1,2,94
2,2,158
0,3,79
1,1,96
0,1,67
3,0,150
3,2,1661
2,3,198
2,2,160
1,3,102
2,1,120
1,1,83
0,3,70
2,2,118
0,2,62
2,0,147
1,2,98
3,1,494
1,0,85
1,1,99
1,3,100
0,2,76
0,0,71
2,0,95
0,2,73
2,1,191
2,2,116
2,2,131
3,2,1621
3,3,7975
3,1,353
2,3,206
3,1,394
0,1,70
2,1,107
3,1,444
0,2,64
0,2,60
2,2,130
3,2,1652
2,1,122
1,1,89
2,0,99
2,2,168
1,3,116
1,2,231
1,2,85
2,1,134
0,0,66
1,1,89
0,1,60
1,0,71
2,1,120
2,2,166
1,2,101
2,1,134
3,1,371
2,2,147
2,1,102
2,2,160
0,0,73
0,2,64
3,1,391
2,1,128
3,1,421
1,0,116
2,3,230
2,1,122
0,1,71
3,2,1379
1,2,87
1,2,73
2,2,148
0,3,57
1,1,78
2,1,172
1,3,108
2,2,176
3,3,8074
2,1,112
0,3,82
1,0,67
3,3,8067
2,0,94
2,1,108
1,2,136
2,2,157
1,2,72
2,3,199
2,0,77
1,1,89
0,1,70
2,3,187
0,2,81
3,2,1550
1,2,188
3,1,416
3,2,1574
2,2,141
1,0,79
2,2,146
2,1,111
3,0,142
1,3,91
1,2,74
3,0,272
1,0,83
2,1,112
1,1,82
1,2,83
1,2,72
3,1,468
3,2,1457
3,1,392
2,2,124
1,1,153
0,1,72
2,2,154
2,3,182
3,2,1390
0,1,55
2,1,96
0,2,58
1,1,78
2,0,182
1,0,143
1,0,59
0,3,71
1,1,188
2,2,176
0,1,61
2,2,141
1,3,104
3,3,7625
1,3,104
2,2,201
2,2,151
1,3,95
2,3,181
1,3,93
2,0,95
1,1,100
1,1,83
1,2,82
2,2,163
1,1,117
1,2,96
2,3,200
3,3,6706
2,0,74
1,1,74
0,3,69
1,0,82
2,1,135
0,1,67
1,0,132
2,3,198
3,0,128
2,2,132
2,2,147
0,0,65
2,1,111
2,2,142
2,2,113
2,0,98
2,1,180
0,1,65
1,3,109
2,1,109
3,0,132
3,2,1623
1,0,76
2,1,99
2,1,97
1,1,84
2,3,265
0,2,69
1,2,90
3,3,7564
1,1,90
1,0,90
0,0,59
3,2,1724
3,2,1356
1,3,107
2,2,228
3,2,1657
0,0,75
1,2,172
0,2,55
3,1,429
2,2,162
2,1,123
2,2,114
2,2,147
0,2,116
3,1,414
2,1,117
3,3,7397
3,1,401
3,2,1555
1,1,100
0,1,57
3,3,8128
3,2,1833
1,1,136
2,0,87
1,2,92
0,2,72
1,1,77
3,0,120
3,2,1305
2,1,107
2,1,110
0,1,62
2,0,143
2,3,226
2,2,114
2,1,96
0,1,69
1,1,96
2,2,238
2,3,173
0,2,59
1,0,80
2,2,209
1,0,71
0,2,64
3,2,1593
1,1,91
2,2,112
0,2,80
2,1,103
1,2,95
1,1,74
2,2,219
1,2,95
0,0,79
1,3,89
3,3,7622
0,2,66
1,0,80
1,2,84
2,2,141
2,0,108
1,1,138
2,2,153
0,3,67
1,0,71
1,1,80
1,2,83
3,0,211
3,0,103
2,2,142
0,2,64
1,2,153
2,3,212
1,2,80
3,1,337
1,2,77
0,2,66
2,3,206
3,0,127
1,2,87
1,1,91
1,1,139
1,1,96
2,1,96
1,2,89
0,2,74
2,1,96
2,3,226
2,2,139
2,2,190
3,3,7451
0,3,170
1,3,114
1,3,103
1,1,97
1,2,91
2,3,223
2,1,119
2,1,126
1,0,75
1,1,148
2,1,190
1,3,84
0,1,73
0,1,65
0,1,70
2,2,146
3,3,7459
2,0,106
3,1,397
2,0,101
2,1,200
2,0,79
1,1,95
1,0,57
2,1,109
2,1,104
2,1,104
3,1,461
3,1,373
2,2,158
1,1,166
2,0,90
1,1,71
2,3,187
1,1,74
3,2,1704
2,2,139
0,1,63
0,3,58
2,1,112
2,1,195
1,2,92
1,2,101
1,1,76
0,2,63
2,2,153
2,1,99
1,1,85
1,1,87
1,2,87
2,2,207
3,2,1673
1,0,84
1,0,62
2,0,92
0,3,78
2,1,138
1,3,113
3,1,448
1,0,68
0,1,114
2,2,156
0,1,57
2,2,134
2,0,113
2,1,125
1,2,81
2,3,208
2,1,100
0,1,59
3,2,1856
2,0,86
1,1,88
2,0,69
0,1,76
3,2,1629
2,1,118
0,1,53
3,0,120
2,2,135
2,0,143
0,1,79
0,2,67
2,1,130
3,2,1650
1,0,82
0,2,67
3,1,345
3,2,1608
2,2,137
2,2,215
0,3,75
0,3,75
2,3,172
0,2,63
1,2,82
2,2,137
3,1,437
1,2,77
3,0,114
3,2,1886
3,3,7434
3,1,344
0,0,76
1,3,99
1,0,82
2,2,116
0,2,71
3,2,1465
2,0,95
3,1,517
3,2,1709
3,0,119
2,1,113
3,2,1768
2,2,147
0,1,64
0,2,66
2,3,302
2,1,99
2,2,201
2,3,183
2,3,169
0,1,70
1,2,86
1,0,75
2,2,140
2,1,118
0,2,60
1,1,82
2,2,217
1,3,122
