StringLength,'SHA-Mode (0=SHA-1, 1= SHA-256, 2=SHA-512)',runtime
1867,2,38138
2247,1,32665
5443,0,43878
4177,2,45011
7563,2,98763
1741,0,37235
1677,0,32347
6551,0,96956
4462,1,87954
32,1,14819
4051,0,44589
1076,1,18987
3703,0,31721
9430,1,187956
7816,1,120914
6867,0,89611
7880,2,143208
4019,0,46650
1677,1,26591
8544,1,94059
7848,2,404733
8070,1,148213
4557,0,104328
4589,2,80664
6835,1,111809
348,0,24477
7373,0,99508
8418,0,103247
9652,1,128304
4937,1,111692
1297,1,27234
9873,1,164376
3228,1,62414
8418,1,146052
854,1,22376
6741,2,74943
6519,0,74932
6266,1,90480
1899,2,70859
3354,1,77402
4905,1,131647
4082,1,94226
1867,1,48466
9399,0,112355
9241,2,134583
1456,1,34791
5918,0,68615
4177,0,45163
3196,1,42504
1962,1,26377
5222,1,103178
6709,1,76151
9177,1,95683
4589,0,40614
3070,1,37833
8418,1,88437
6361,2,61473
3829,0,44999
9747,2,83840
9241,1,104863
1234,1,22909
5253,0,42787
3797,2,39371
7215,1,81241
6297,2,57098
5886,0,51972
2373,0,22897
2057,1,27962
4810,1,53140
4589,2,43941
8133,1,89617
8861,0,65728
6551,1,71737
9589,1,99783
633,0,12558
2816,2,32025
3513,1,41939
2975,2,31679
3386,2,33937
0,0,7262
4684,2,46553
2785,1,34666
4557,0,63136
2152,2,37550
4652,1,53686
9051,1,94291
8228,2,71395
6234,0,52197
3259,1,40309
4905,1,53741
4620,0,40338
7120,2,121468
506,0,23591
6614,2,107587
5981,1,101308
8671,1,157543
2215,2,53177
9525,0,132040
9051,1,154944
7120,2,104109
5032,1,88875
2563,1,84453
7595,1,132341
9778,1,166777
2785,1,56005
2627,1,53779
4177,1,75775
7848,1,132387
7373,0,95486
1361,1,41391
1076,1,308354
7152,0,100312
1899,0,38763
3481,0,44716
7563,0,90164
2627,1,70486
8829,1,109895
6234,2,67094
9304,1,145203
5158,1,175390
6392,1,110859
3608,1,81978
9367,1,160782
9873,0,82250
3608,1,44091
9209,1,160426
4082,1,86627
5411,2,98457
9304,1,159935
2753,1,56925
2247,1,39876
8101,1,86491
3671,1,42727
9873,2,86759
4114,1,48252
3608,0,34226
4304,1,49028
3544,2,34759
4842,1,54290
1361,0,15681
506,0,12745
918,1,16511
1677,0,17183
8576,1,90451
7373,0,91368
1076,1,23202
7753,0,64633
4620,1,53946
7057,1,75450
5918,1,63899
538,1,15169
1646,1,22169
1962,0,25643
5443,2,53538
3956,0,66006
475,2,16088
3576,0,30334
6677,1,73647
1709,1,23426
1551,0,16818
1361,0,18021
2785,1,34551
3703,1,41982
1171,1,17984
8070,1,84447
6741,0,50185
9937,0,69766
3608,1,42536
9715,1,102095
1930,2,25203
4051,1,49299
9019,2,75256
8354,1,88484
4462,0,36297
0,0,6260
1709,1,178577
4241,0,56064
6962,0,56787
5728,1,78470
3259,2,40509
1867,1,29694
2975,0,28217
1709,0,17776
5949,1,65303
2816,0,25359
3608,2,44240
1867,2,45715
2816,1,38126
2532,2,27841
3259,1,39403
4114,1,49780
5190,0,42088
5475,1,61583
791,2,16659
9462,1,232223
2468,1,61945
4304,1,75756
2437,0,45732
7120,0,62800
1456,1,25039
9937,0,74187
8449,1,96417
6930,2,85524
1456,1,23469
8354,1,87282
2943,2,32326
2722,1,33387
0,0,7707
1487,2,19901
7816,0,57032
316,2,15784
886,1,15741
3987,0,32692
6551,0,56491
7753,2,74486
316,0,10304
4114,1,50977
8734,1,93586
5823,0,48487
7278,2,94695
7816,1,141987
4810,1,79240
1741,1,43310
4272,1,73261
5063,0,67434
1424,2,39425
3861,1,84406
9462,2,153626
1171,1,32264
9778,0,107601
7310,0,84020
7184,1,117647
4146,0,55438
506,2,45241
316,1,18298
5918,2,88749
3513,1,63957
1456,1,34816
5063,2,115397
7278,1,155353
7658,1,135031
9620,1,160121
3196,1,94402
2025,1,44416
601,2,34859
7342,1,125714
854,1,24685
253,2,28758
6614,0,82284
1899,0,32102
2816,1,808229
1234,1,48911
9873,2,1018455
5981,2,109403
6614,1,116263
9367,0,109039
1013,0,58901
5728,0,95829
7690,0,90679
6804,1,117080
7342,2,115109
3481,2,62212
7880,0,86820
3703,1,66735
9873,1,144114
918,1,29569
5222,1,87188
7563,2,120825
63,1,21181
886,2,31928
3513,1,65556
3386,2,91598
6614,2,1117857
6171,0,180077
6266,1,117801
3165,1,61643
4494,1,79713
2911,1,52749
6234,2,111775
2184,1,49798
2342,0,40787
7975,1,131744
7342,2,349281
8766,1,169221
1709,0,38851
5253,2,89932
6835,0,74610
4810,2,76679
7025,0,77084
8165,1,129682
9684,1,189508
5823,1,105135
5759,0,72202
95,1,14932
8449,0,104157
3639,1,93390
158,1,17211
2373,1,30615
8892,2,256248
3291,1,1316226
665,1,43209
1804,1,38555
222,2,31713
6709,1,110389
5380,1,91642
1392,0,32715
1044,2,85847
411,1,20237
5665,2,161801
3354,0,61169
5475,2,90056
158,1,29293
3797,2,73146
3418,0,52287
3861,1,63140
4715,0,41481
4778,0,37795
2785,1,33697
6962,2,63170
5601,1,60828
4557,1,52736
696,2,16809
5095,2,45505
4557,1,51057
3987,2,39069
696,2,14050
8797,1,92376
9462,2,81515
7880,2,165552
538,1,25075
3481,0,44943
791,0,13235
3513,0,28730
6772,1,71795
1487,0,16503
6930,1,115503
4715,1,97237
9462,0,107428
7373,1,134642
6582,1,76250
4019,1,61967
3671,2,48517
8291,1,86687
9430,1,99710
3291,2,34823
3354,0,43632
8734,1,93460
3544,0,29969
1234,1,18464
5791,1,95064
6741,2,109702
4304,0,82784
6962,0,92549
8513,1,135345
9146,1,149373
8196,1,116283
1614,0,37579
6487,0,78256
8956,1,142204
7247,1,116191
3038,0,50003
7184,1,119264
3259,1,58259
4335,0,59842
696,1,76673
5190,1,98534
3829,0,57976
4747,0,42546
2089,1,28752
1329,1,17881
6203,1,72599
1551,1,23124
9209,0,79518
5823,1,70060
7816,1,89478
7215,1,92517
8038,2,105545
6804,1,124868
3038,1,39355
2025,1,28728
253,0,30046
7120,1,99435
4367,1,58738
8165,1,113986
4209,1,169751
5190,2,94045
9747,0,74139
5095,1,58850
1519,1,20026
9114,1,106577
4620,0,43672
