ArraySize,Key,runtime
70570,42405,1986
949,59494,216
36709,38608,2233
62342,2532,7210
14241,76266,754
80696,26899,1635
68987,89873,300
16139,13608,115
4747,93354,177
64557,2848,179
31646,19937,116
67405,19937,1996
95570,92405,2413
70253,71519,4798
40190,98101,1578
44937,10759,992
85443,1266,1780
15823,53797,248
61392,89557,357
75633,67722,4902
82595,80063,1658
77215,7278,1291
4747,57911,117
74051,26899,205
39873,28165,129
96519,49051,2630
1899,50316,225
949,17405,102
34494,69620,1484
949,80696,886
52532,52848,1641
62342,65506,1275
83861,89241,1865
86392,64557,1455
24051,4747,207
17089,8228,1786
51266,2532,1448
37342,35127,1490
22468,50949,292
12658,51899,168
99367,87025,3410
12342,77532,183
0,14241,103
44620,27848,1824
51266,86392,3028
60759,58228,1359
17405,15190,295
92089,85759,2006
15190,26899,315
82278,26266,1789
12342,50316,149
949,6329,95
78797,71519,204
60127,86709,168
37025,71203,114
52215,81013,469
93354,3481,1199
86076,26899,770
92089,55696,4419
6329,87025,168
24367,13291,1803
42722,15506,3385
92405,6329,1979
31646,62025,340
7278,68354,104
50633,59810,1019
60127,26582,3563
92722,21835,3321
48418,26899,2865
22152,45570,1420
70570,81962,1425
19937,48101,217
71835,13924,1244
82911,14873,3608
17405,56013,926
68987,44620,3135
56646,51582,5230
78797,75633,1395
61392,95253,405
54747,4114,262
61076,53481,4330
5063,70886,313
30696,54747,5079
2848,99367,224
10443,75949,601
81329,41139,725
9177,43038,110
30063,97152,145
59810,949,162
93987,31329,207
47785,56646,1944
12025,16772,185
68354,50633,2608
78797,38291,882
77532,35759,1864
6329,87658,527
58861,633,610
29747,10443,237
13924,13291,1218
68987,92089,1835
32595,88291,382
83861,51582,1683
81329,74367,3628
72468,24367,483
7278,27848,117
57595,20886,2737
59810,34494,3203
90506,17722,1934
20886,66772,939
63291,6646,676
88291,91772,218
96203,41139,483
89873,15190,1562
8228,62658,225
62658,56962,658
76582,59810,2509
8861,20886,217
33544,7911,260
7595,12342,1278
43038,64557,2178
54114,97468,1503
9494,73734,224
52215,25316,5138
70570,39241,666
4114,53797,99
22152,17089,409
6962,18671,104
13924,86709,117
31646,51582,113
97785,25633,23356
21835,25633,5237
33861,71203,2224
36076,82595,1202
2215,36392,267
14873,47468,822
45253,41772,481
85127,62342,214
25316,20570,927
18671,30063,301
14241,62658,382
19937,15190,154
66139,82911,1460
6646,95886,149
87658,18038,2840
77215,14241,738
12975,76899,312
22152,77215,171
58861,61076,3771
12975,38291,222
78165,22785,2638
99367,37025,676
58228,17405,169
40190,33861,132
73734,52532,1064
85759,4747,214
52532,25000,443
11392,59494,172
50949,2848,418
6962,64557,110
77532,40190,1336
50949,7595,1119
34177,66772,358
60759,41772,449
42089,73418,337
8861,18038,118
3165,95253,286
28165,43354,141
65190,79114,598
19304,43354,118
74684,68987,442
316,37975,105
76899,90823,791
76266,64557,1147
9494,23101,135
91139,44620,2110
56646,63924,486
80696,52532,222
29747,93038,125
42722,46203,1058
