448078,28784
928078,36604
480078,22450
896078,39031
448078,22790
928078,35948
480078,22561
896078,37820
448078,23120
928078,35934
480078,22457
896078,38405
544078,22396
480078,22494
928078,35598
576078,27715
352078,11370
896078,37555
896078,37820
352078,12267
896078,46998
832078,41134
352078,9188
384078,17606
608078,22823
800078,31112
896078,38128
544078,21771
576078,26162
704078,24838
896078,46027
384078,18042
544078,21646
544078,20800
576078,25862
832078,41729
832078,30878
832078,36189
800078,31532
832078,36533
576078,28986
544078,21093
832078,35684
896078,37442
896078,36181
384078,17399
704078,25341
480078,21512
448078,22620
832078,34924
544078,21313
832078,35656
704078,24409
704078,24262
352078,11281
544078,20820
896078,45907
448078,18454
704078,24205
928078,35953
832078,31407
704078,24886
832078,41917
832078,36097
800078,30384
896078,35998
832078,41119
448078,18610
480078,22219
928078,45653
896078,36967
352078,9331
896078,37690
352078,8825
832078,36493
896078,35323
544078,21237
928078,46330
928078,35869
352078,11308
544078,21770
896078,46702
544078,21562
384078,18253
896078,38927
896078,36045
576078,26132
928078,34748
896078,37843
800078,31106
832078,35654
928078,34353
448078,22653
832078,36693
832078,35829
896078,44154
928078,34298
832078,35070
832078,41583
832078,36040
544078,20657
832078,31518
608078,22929
800078,31307
704078,24329
608078,22262
832078,40962
832078,34207
928078,46110
480078,21845
928078,46231
800078,32457
928078,45765
896078,36375
832078,35808
928078,34888
896078,34835
480078,21056
544078,21399
576078,27939
480078,21080
896078,45126
480078,20996
832078,35557
576078,28218
928078,43326
896078,37714
832078,42368
800078,30754
896078,35140
480078,21654
832078,30500
832078,31961
896078,36287
832078,41629
896078,36837
832078,41484
832078,35943
352078,11330
928078,35282
896078,46178
352078,11046
480078,21308
800078,32157
832078,31873
352078,11693
576078,26463
544078,21559
896078,37821
576078,26323
928078,36282
832078,42381
800078,32172
576078,26315
448078,18818
928078,35284
544078,21532
896078,47489
448078,18619
448078,18774
544078,21122
928078,36240
544078,21533
608078,22429
544078,21212
608078,22615
544078,21141
832078,35578
832078,35742
928078,46337
832078,42297
896078,47237
352078,8909
448078,22441
896078,35087
704078,23956
896078,38332
448078,18904
832078,41291
384078,17922
832078,35777
896078,38735
480078,21518
576078,26329
704078,24515
384078,18218
352078,9444
832078,42428
352078,13502
704078,24549
800078,31959
832078,35007
544078,21312
832078,31526
576078,25619
832078,36407
576078,26031
352078,11738
480078,21937
896078,35461
896078,37259
448078,18627
704078,25207
832078,41081
832078,36656
448078,21300
896078,36215
896078,36078
704078,23934
896078,46155
352078,9252
896078,37105
896078,38899
480078,22009
384078,17155
352078,11734
896078,35098
352078,8878
448078,21376
352078,8983
576078,27844
608078,22605
576078,27106
704078,24389
896078,36148
704078,24505
544078,21124
800078,31328
896078,38391
896078,38073
928078,44857
352078,11281
352078,8884
832078,35628
928078,34600
896078,37064
608078,23412
448078,18835
896078,35084
896078,37166
896078,38594
896078,37400
352078,9399
832078,34839
544078,21831
576078,26113
384078,17495
448078,21568
576078,28188
608078,22883
352078,11512
352078,11639
576078,27361
800078,31352
480078,21250
352078,9096
544078,21462
544078,22033
896078,37635
704078,24817
896078,36972
832078,41230
800078,31231
384078,17771
896078,35847
608078,22950
480078,21874
576078,26088
928078,47376
448078,18981
928078,46489
480078,21421
896078,34794
448078,22270
832078,40864
928078,45317
544078,21333
896078,47098
384078,17773
896078,37903
832078,31662
576078,28035
448078,22161
544078,21139
544078,21536
448078,18694
480078,22755
832078,31378
896078,37424
832078,36068
448078,19063
896078,37880
896078,45723
832078,41687
384078,17390
928078,35449
928078,35143
928078,46725
480078,21484
480078,21911
896078,36114
352078,11657
480078,21653
544078,21529
480078,21589
928078,34597
928078,34907
800078,31082
352078,11460
896078,37141
896078,37684
448078,18811
832078,31322
544078,21075
480078,21768
832078,35234
480078,21271
896078,46456
576078,27485
800078,31470
