ImageWidth,ImageHeight,Sigma,runtime
3009,811,7.545455,341691976
3009,278,4.681818,79621430
1555,3832,5.909091,719218437
3009,1344,2.636364,333395462
100,455,6.727273,8559724
5045,1877,8.772727,1069056232
1264,2766,1,229959925
1845,3477,1.818182,539505331
5918,100,3.045455,54516889
1845,3477,3.045455,583628769
1264,3477,1,281679943
1555,3477,6.727273,685931929
4755,1344,1.409091,430462878
1264,3121,9.181818,459610349
3882,989,6.727273,479869603
391,2944,1.409091,69485885
5336,2233,6.318182,1638994518
682,100,4.272727,9009396
2427,2410,3.863636,601620087
2136,2410,5.090909,566561767
2427,1877,5.090909,494450881
3882,3299,7.545455,1894203014
1264,633,9.181818,90360431
973,1166,3.045455,107225782
5045,2233,8.363636,1700283670
391,3477,6.727273,164373150
4755,1700,3.863636,803248734
3009,100,3.863636,30316653
3591,3299,7.954545,1750327525
5918,2410,4.681818,1603457806
3300,633,8.363636,304020503
682,1344,3.863636,150210033
5336,1344,4.681818,774169244
1845,3655,4.272727,697451250
3300,3832,7.545455,1852446804
100,455,9.590909,11609991
3009,3121,3.045455,838566770
682,1344,1,50152989
5627,1522,6.318182,1076557726
4755,278,2.636364,103683937
391,1522,3.454545,61156731
3009,1700,9.590909,576867273
1845,1700,1.818182,219267840
5627,1700,3.454545,882181244
682,3477,3.863636,251547058
3882,989,8.772727,472024538
1264,2233,3.045455,248694445
100,100,4.681818,3653261
3882,3655,8.772727,1954959180
1845,2410,2.636364,363484673
100,3655,3.454545,34833531
973,633,6.727273,78384879
5627,2055,5.090909,1358333800
3009,3299,7.954545,1495059706
5045,2233,4.272727,1235027077
1555,2233,5.5,409989680
4173,3121,2.227273,1084848294
3300,3477,3.454545,1114536951
5045,100,3.863636,50100194
100,2944,9.181818,36864154
973,2766,8.772727,308606714
2136,1344,4.681818,293995040
3591,1522,1,360457928
3009,3121,9.590909,1105966917
4755,3655,4.272727,1952426417
3300,2410,9.590909,954943183
5045,989,7.954545,768828534
1555,811,6.318182,153331061
5336,989,8.363636,787216822
391,3477,7.136364,174128928
5336,1877,3.045455,888488931
5336,1344,2.636364,624697301
391,2410,9.181818,104965428
682,989,5.5,83073793
100,633,8.772727,9533563
100,1166,8.772727,16089543
5045,1877,9.181818,1100976208
5336,811,3.045455,376849926
3591,2766,5.5,1173226242
973,1522,8.772727,161813248
4173,3655,1.409091,1157679054
1845,2233,3.454545,378105767
391,633,7.954545,35332347
5045,278,3.454545,126499131
4755,3299,2.636364,1537740354
2718,455,5.5,134225168
2427,3655,7.545455,1276470017
3300,3121,5.090909,1167958406
100,1166,2.227273,9554505
391,3655,2.636364,169470267
1555,2588,5.909091,470347592
5918,1877,3.045455,1036183687
1264,3477,4.272727,445223040
100,278,7.545455,6085711
391,3299,1.409091,84898088
4755,2410,3.863636,1131755086
2718,278,3.045455,58410669
1555,2588,6.727273,529955703
682,455,3.454545,27413612
4464,3477,5.5,1788334453
2427,100,3.454545,23733954
3882,3121,1.818182,948684652
4173,2055,8.363636,1307937703
1555,811,9.590909,173629757
4464,2410,6.727273,1510532496
1264,100,1.409091,9436492
3300,2233,6.727273,1017715911
682,1344,8.363636,131877682
3882,2944,5.5,1496363467
1555,3832,1,401631679
3300,3832,3.045455,1199361344
682,1877,1.818182,85881244
4755,3121,9.181818,1751873193
5045,811,9.590909,460017789
3300,1344,8.363636,695089629
391,2233,2.227273,57754541
4755,3121,1.409091,1080297002
100,3299,1.409091,26879332
2718,811,4.272727,215270239
2718,3299,1.818182,743681546
4173,1877,3.863636,764683006
391,3832,5.909091,197621427
5918,2055,1.818182,1009342411
100,2766,9.590909,41672862
4755,2233,9.181818,1186601833
682,100,8.772727,10656286
973,2766,7.136364,363756800
4173,633,4.681818,317769968
4464,3477,8.772727,1759582377
4464,2233,5.090909,1087890940
1845,1166,1.409091,155495142
682,278,7.545455,28378509
5045,2410,7.545455,1767736739
2427,633,5.909091,180076011
2718,1522,8.772727,446487516
4755,633,5.5,341987534
2718,278,1.818182,47315727
2718,1877,8.363636,765611418
1555,2588,4.681818,413305396
1555,1700,1,166382084
3009,3299,5.090909,1139371683
973,1700,3.863636,162664447
3300,1877,5.5,743494310
4173,2944,5.909091,1544149369
4755,2944,1.818182,1152370567
4173,100,4.272727,47555303
1264,455,6.318182,77476136
682,3655,3.454545,211008477
4173,2055,1.818182,653146947
4755,2588,4.272727,1356172646
1264,3655,3.863636,473290340
2136,3655,6.727273,1033467926
3009,2055,4.681818,646538016
3300,1700,3.045455,497725829
2136,633,7.954545,196892911
5336,811,7.954545,680755850
100,2233,9.181818,26752582
3009,3655,3.863636,1095272934
5627,2588,7.136364,2018971682
5918,1344,3.863636,752513110
3882,811,7.954545,486174763
100,2233,7.136364,49574471
682,2944,6.727273,241086617
2427,3832,3.454545,890421063
1264,1877,2.227273,170098021
973,633,3.045455,61040961
5627,3832,7.954545,3381340211
682,455,7.136364,41685443
2718,2944,5.5,963838146
5627,1522,7.954545,1231567296
5918,1877,1,856730895
2136,278,4.272727,71172443
4173,2766,4.681818,1282412180
973,455,1.409091,32509777
682,1522,7.136364,146359190
5627,989,9.590909,637936990
