ImageWidth,ImageHeight,Sigma,runtime
100,278,4.272727,4881703
5336,2233,8.363636,1880812448
3009,2410,3.045455,664512646
1555,100,8.363636,26282366
1845,811,1.409091,108991704
4464,2410,8.772727,1250825695
2136,3655,4.681818,842148719
5918,633,3.863636,409994538
3591,633,8.772727,271963569
3009,1166,4.681818,392456383
5918,278,1.818182,101999672
2136,3655,3.863636,743381842
4464,989,1.409091,326308184
5045,633,1.409091,213145413
1845,633,2.227273,98513419
5336,811,7.545455,594900638
3300,633,4.681818,212800659
2718,2055,4.272727,572919190
3009,3299,8.772727,1198787022
5627,3299,4.681818,2097252445
1845,2766,9.181818,622322695
5627,100,4.681818,59321086
1264,1522,1,165380335
3009,455,8.772727,205278788
3882,2766,8.363636,1645046561
2718,3299,6.727273,1238541908
100,2766,4.272727,28886270
2427,1344,3.454545,294955022
4755,989,7.136364,690323429
3300,2944,2.227273,732907675
4755,3832,5.090909,2302034133
682,3477,7.136364,300328020
2427,811,7.954545,320632638
4464,1522,5.090909,714143155
973,2944,9.181818,304719099
5045,2766,5.909091,1727539891
5045,633,5.090909,335624935
1555,3655,6.318182,749092718
1555,1344,3.045455,175887273
5336,2233,7.136364,1616421996
3300,3299,5.090909,1229903920
5336,2410,9.181818,1595365534
3009,2410,9.590909,805819921
4464,1522,1,447872083
391,2410,7.545455,123341919
4755,3655,4.681818,1966760478
2427,2588,8.363636,920593138
4755,2410,9.590909,1335720267
3300,100,8.772727,41168859
5336,3477,8.363636,2926743803
4464,100,6.318182,56524151
4173,3121,8.772727,1533328036
973,3477,5.5,386633524
4755,1522,3.863636,736818822
2427,1166,5.909091,362605571
2136,3832,7.954545,1260036287
1555,1877,1,181573626
4755,1700,2.227273,627385617
5627,2588,4.681818,1627519333
1264,989,8.772727,148368979
682,1700,5.5,134410109
391,2588,3.045455,113668003
5918,811,2.636364,444046086
3009,278,1.818182,51410194
5336,100,6.727273,85003230
4173,1877,7.136364,1081453641
682,2410,1,131458390
2718,2766,3.863636,737292267
4173,3121,5.909091,1604293722
1555,3832,5.5,676511528
2136,2944,5.909091,810807796
2427,2233,3.045455,480392223
5045,2055,1.409091,784656552
682,455,9.181818,37050242
5045,3121,8.363636,2443019803
5045,633,3.454545,302140630
2427,633,1.818182,110440985
3300,3477,3.045455,1030743877
2136,2588,2.636364,472076894
1264,1344,8.363636,248692527
3300,278,3.863636,83058394
2427,455,1,77570000
2718,2944,2.227273,629878021
100,3121,3.045455,26834638
4464,1522,3.863636,691424732
3591,2944,3.045455,901150192
5918,278,6.727273,220657767
1555,2410,4.681818,425855861
4755,633,1.818182,256750742
4464,633,6.318182,357974093
3009,633,6.318182,239565076
973,2588,4.681818,261092617
1845,2588,6.318182,617585423
5918,455,6.727273,402243656
5918,100,6.318182,74772366
5336,2410,5.5,1579382118
3009,1344,3.863636,385308988
3300,2944,4.272727,1063348008
1845,1166,1.818182,165542921
5627,2944,7.954545,2467738099
391,2944,3.454545,92322247
5918,1700,9.590909,1142831494
682,1166,1.409091,46986801
3009,3121,2.636364,806438122
3009,1877,3.863636,523850216
391,3121,1,62730811
3009,278,6.318182,103133865
2718,1166,9.590909,375376406
5336,1522,8.363636,1255850502
3300,2055,5.909091,805568885
5045,3477,4.272727,1948833581
2136,1166,5.5,279882437
682,2055,5.909091,159087413
3882,2410,4.681818,991914773
973,1700,3.045455,129619460
4173,2055,7.954545,1305384510
1845,3299,9.181818,706485463
2718,2055,1,373753342
682,3832,3.045455,199313606
2427,2588,9.590909,711982890
1845,2766,4.681818,588853926
5918,1344,6.727273,1030763663
1264,2588,6.318182,460348928
391,1877,7.136364,98380183
2718,3477,1.409091,710265987
5045,2944,3.454545,1459509849
391,100,3.045455,5281289
391,278,1,8032209
1845,1877,8.772727,443626027
4755,2766,1,978528838
1845,3299,5.909091,720851808
100,455,7.136364,10125988
100,2944,5.090909,33767335
1845,2233,1.409091,328895030
3591,2410,1,624359698
2136,3121,9.181818,970406055
100,811,9.590909,11297092
973,3299,6.727273,456149277
5918,633,2.227273,322358744
3882,1344,5.909091,686223507
5336,633,9.181818,392797759
3300,100,1.818182,22201562
4755,1877,1.409091,610886660
3009,3832,7.545455,1830771693
973,1344,4.681818,132498423
5627,2766,5.090909,1826890734
5627,455,2.636364,204628987
2427,455,4.272727,109846732
391,100,6.318182,6525031
2427,3655,3.454545,816397184
3009,2588,8.363636,1211910277
2718,811,3.045455,182990679
100,3121,4.681818,42730582
3300,1344,3.863636,429778601
5918,1344,7.954545,1216470913
1845,1166,9.181818,280968208
1845,2233,8.772727,442246896
5045,1522,8.772727,986434532
682,3477,5.5,304261293
100,2055,7.954545,33685203
1555,1700,5.090909,290710422
5918,989,7.136364,827157046
3591,278,6.318182,119170673
973,989,1.818182,73636665
2718,2055,1.818182,409742974
3882,2588,8.363636,1575368405
5045,2410,3.045455,1151486551
5045,811,7.136364,553888291
2136,3832,7.136364,1150834756
4464,3832,5.090909,2033877337
3882,455,3.863636,186808031
973,2055,7.136364,264323288
682,278,5.909091,27422168
1845,989,7.136364,236433244
3300,1166,3.045455,379563179
973,633,7.545455,106547687
3882,3299,7.954545,1956707621
1845,100,4.681818,29047594
5918,2233,1,1067835189
5045,3121,4.681818,1916912846
1555,3477,5.090909,621516448
5045,2588,2.636364,1163425290
3300,989,3.454545,297561995
2718,2055,8.363636,842423745
1555,989,6.727273,211217962
4464,2766,2.636364,1081683214
3882,2233,6.318182,1168785585
4464,1522,5.909091,874047204
5045,1166,6.727273,762127452
3009,3299,4.681818,1133483032
5336,3477,3.045455,1785326388
973,3121,6.318182,406980659
3009,2233,8.363636,1048794824
3882,1344,5.5,620443522
1845,100,6.727273,26816159
3300,3832,8.363636,1979707974
3009,2588,5.090909,878233106
5045,633,4.272727,409695979
3591,1344,8.363636,731430581
2427,989,1.409091,162938067
5627,2410,7.545455,1974168547
3300,2766,1.409091,687330785
3300,811,4.272727,267497588
4173,811,1,251896112
100,455,9.181818,11762403
2718,3655,1.409091,788417398
2718,2410,5.5,781144772
4464,3655,8.363636,2524273831
5627,811,6.727273,637137859
1264,1166,6.318182,179288674
1845,1700,5.5,350830317
973,989,7.954545,137461238
5627,3121,6.727273,2379036252
5336,278,1.409091,116117082
1845,3477,3.454545,585155490
3300,3832,4.681818,1390148526
973,3655,5.090909,371800611
1845,633,7.545455,158227814
3591,1166,7.954545,626762906
5045,2233,7.954545,1767353505
1555,1877,7.545455,386320494
4755,989,1,308947941
682,3832,4.681818,269984175
2718,3832,7.136364,1434988465
5045,2410,7.136364,1772627193
2427,2055,2.636364,413311282
5336,1166,7.954545,909635025
3882,989,8.363636,562558817
1555,1166,7.136364,233615290
3009,1344,4.681818,448302633
3882,1166,6.318182,569660875
4173,2588,7.136364,1514543839
682,3832,7.545455,359247200
4173,100,6.727273,54448990
1264,2944,8.772727,433622657
5045,989,9.590909,559126074
973,278,3.863636,25101968
1845,2233,4.272727,428089238
1264,633,7.545455,110010907
3009,2944,9.181818,1000291580
2427,455,1.409091,75178961
5045,2055,2.636364,915078919
2718,2944,8.363636,1229128400
973,989,9.590909,117216956
5336,3477,7.545455,2739131282
391,3477,5.090909,144379814
1845,2944,3.454545,488666239
1264,2410,9.181818,338640268
3009,278,7.136364,108493886
2718,278,9.181818,81516988
4464,2588,4.272727,1278746859
5918,1166,3.045455,589451017
5627,1522,3.863636,837775576
5336,989,6.727273,708841948
682,3121,8.772727,230488237
3882,1700,9.590909,745331406
1555,455,4.681818,68432242
391,455,2.636364,17061266
2136,633,4.272727,136529315
973,3832,9.590909,429748906
5918,1700,3.863636,1034977595
5627,455,7.954545,399916701
5627,633,4.272727,366833551
391,2055,4.272727,83051102
5627,278,1.409091,96160020
5336,2766,6.727273,1996346745
5336,1877,9.590909,1277165196
973,3655,1.818182,275661218
391,2588,8.363636,142567846
2718,455,8.363636,183530650
973,1344,2.227273,91800281
5045,3832,2.227273,1762625501
4173,3121,7.136364,1795660798
4755,1166,5.5,642529110
4464,2410,1.818182,833547967
4464,2944,7.954545,2097808582
5918,1877,4.681818,1314823326
2718,2410,3.454545,591668537
3882,278,3.863636,90816493
1264,3121,8.363636,587533051
5045,2588,8.363636,2067525525
5336,1522,5.5,993647021
4464,2410,2.227273,926494867
391,2055,2.227273,62147884
100,2588,2.636364,20204074
5045,1877,7.954545,1445938925
973,1166,3.454545,98153645
2427,2410,5.5,666062972
3300,2055,9.181818,803954963
2427,1877,7.545455,686637685
1845,3655,1.818182,543317312
1264,2410,2.227273,237280788
1264,278,9.590909,39083966
1264,2410,7.545455,426930578
2718,1166,5.909091,436606177
3882,1700,2.227273,508623645
2718,989,2.227273,194134616
3591,811,6.318182,371045459
100,2944,6.318182,38780610
3009,1166,1.409091,262353157
2718,2055,6.318182,765055696
2136,1877,2.227273,288406312
391,3832,4.681818,149473098
2136,100,2.636364,22401951
5627,989,6.318182,755071084
2718,278,8.772727,87646400
4464,2766,8.363636,1987255107
5627,2055,7.136364,1640846427
5627,1700,8.772727,1062215420
4464,1166,1.818182,383187467
1555,1522,4.272727,235853794
4464,100,3.863636,61969365
2718,2410,7.954545,984729860
2718,1344,7.954545,552373759
3882,2944,1.818182,910919341
1264,1344,1.409091,115998986
3882,2588,6.727273,1359740078
1845,811,5.5,169752145
1555,2944,3.045455,486387426
1845,633,8.363636,168323893
5627,633,1.409091,242502595
5045,1344,6.318182,922462302
3300,1700,9.590909,672297802
5045,2766,4.272727,1588574152
1264,1166,3.045455,131008073
5918,1700,6.727273,1463737828
4173,3832,3.045455,1750411669
4464,1344,7.136364,871317991
5045,3121,1.818182,1265359405
1264,3477,3.045455,391036884
391,2588,3.454545,120850414
4755,2944,3.863636,1429039058
5045,1700,5.909091,1059053389
5627,2055,4.681818,1280716583
3009,3299,7.136364,1415544852
5336,455,4.272727,250171283
973,3299,5.909091,372610721
3591,2766,5.090909,1105914055
682,3832,2.636364,210090915
4755,989,5.090909,556481922
391,1877,6.318182,84363573
3009,1344,6.318182,522381969
3009,100,1.409091,19611117
3882,2410,5.909091,1090285413
5627,1166,8.363636,1093943892
2136,455,7.545455,128444208
2136,455,1.409091,61572088
391,3655,2.227273,96897461
3009,1522,7.545455,676339287
5336,633,2.227273,310868826
4464,3655,2.636364,1438132426
100,2055,7.545455,31221368
2427,100,4.681818,26785397
2427,278,4.272727,73605729
5336,3299,5.909091,2280953659
4173,3655,7.136364,2249425382
4755,1877,1.818182,692020900
682,2233,3.045455,126687725
2427,3655,9.590909,1094859712
1845,2588,1.818182,349693008
2427,1166,7.545455,388143332
1264,3299,9.181818,458447069
3591,633,7.136364,303987777
973,1344,9.590909,150341030
5627,1166,5.5,862056033
5918,278,7.545455,272874167
1555,1700,8.772727,306834512
1845,278,6.727273,65516179
4173,811,7.136364,466499177
1264,1877,3.454545,203630251
4755,3477,9.181818,1899068372
3882,2944,7.954545,1750708472
3591,1877,5.5,764533143
3591,989,9.590909,409963205
1555,3655,9.590909,661319625
3882,1344,1,342221622
5045,3121,1.409091,1273226046
1555,1344,2.636364,211257495
2718,2410,7.136364,895307391
3591,2588,4.272727,967911097
682,278,9.181818,36219715
3300,1344,8.772727,591980138
5627,2588,1.409091,1070902597
100,2410,4.681818,29450517
682,2055,1,84884163
2136,2233,3.045455,460333315
1845,2766,3.045455,438614228
4464,3121,1.818182,1149884021
4464,3299,5.090909,1857223799
5627,1522,6.727273,1106395853
4464,2766,5.090909,1373401820
2718,989,6.318182,328492429
3009,3299,4.272727,1059011455
5627,3121,1.409091,1398133687
4755,989,9.590909,537332542
3009,811,8.363636,380444765
2136,2944,8.363636,1024115643
4173,3121,4.272727,1408149820
4464,1877,9.181818,1011849280
3300,1700,1.818182,442148060
4173,2233,5.909091,1198903285
2718,1166,3.863636,312894244
4173,2766,5.5,1416959857
1264,100,8.363636,33315941
2427,633,6.318182,205478478
391,1522,7.136364,79335886
3300,1522,2.636364,469420631
100,811,6.727273,15875652
3591,1877,4.681818,752872902
5336,455,3.454545,233684498
100,989,8.772727,15180870
5627,3477,6.727273,2689871083
3009,3655,7.136364,1639634299
2718,3121,3.454545,814283487
5045,2588,5.090909,1527397601
3009,1522,1,325250151
973,3299,1,231642109
1845,3832,9.590909,794680363
973,3477,2.636364,279858797
3300,2588,2.227273,760369046
4464,2944,3.045455,1228798085
5045,811,3.454545,379696615
4464,1166,8.363636,770301115
3882,2410,1.409091,714525906
5045,2410,4.681818,1490851997
3009,3477,6.727273,1425373333
2718,100,6.727273,36612581
3009,2410,7.136364,951802114
5045,1166,1.818182,448799339
1264,2410,9.590909,366191745
2136,1877,3.454545,367398557
3591,3299,3.454545,1106117713
1555,2055,9.181818,343909544
4755,2766,8.363636,1977090642
973,100,7.545455,15865630
5918,989,3.045455,530663654
1845,2055,1.818182,282326800
391,1344,1,33274008
391,2944,2.636364,85586135
5045,2766,1.818182,1130477932
100,455,7.954545,10902979
5336,3655,6.318182,2696639601
1555,2766,1,332510056
682,2944,8.363636,280178578
3300,278,3.454545,77658257
1555,1522,9.590909,264533412
973,100,6.727273,27041039
100,811,8.363636,15300726
682,1166,8.363636,115393971
1555,2410,9.181818,419966480
2136,3477,3.863636,840374942
4755,2410,1,875925241
5045,1877,1,724970153
3300,2944,1.409091,713577624
5336,1877,3.863636,946631512
4755,1700,5.909091,1023467135
5627,2588,6.318182,1911632917
3009,1700,5.909091,608626669
1555,633,9.590909,113718951
4755,2410,7.954545,1714257185
2718,3655,9.181818,1203586816
4173,2944,5.5,1541810989
391,633,4.272727,23696091
2427,455,7.545455,151353599
3591,3121,5.909091,1344822407
2718,1522,3.863636,394779610
682,633,1,24765169
4464,3299,6.318182,2047178646
100,2233,5.090909,24806679
2136,811,3.454545,149417552
5627,1344,3.454545,758088849
4464,3832,3.045455,1649586790
5918,2233,5.909091,1635070584
391,811,5.090909,35849339
682,278,3.454545,18383248
1555,2233,7.136364,507583151
4173,455,3.454545,174377007
3882,2588,9.181818,1250045299
4755,278,7.545455,179083708
3009,2410,1.409091,494718690
2718,2233,1,440751968
3009,2410,9.181818,831226215
2427,1522,3.045455,341870634
391,100,3.454545,4985185
4464,3299,7.136364,2095956691
3591,1700,3.863636,575386567
3591,100,6.318182,96997277
973,3121,8.772727,348751113
391,989,1.818182,27370878
391,1166,9.590909,51599894
4173,1877,2.636364,700546403
3882,2766,7.545455,1470133371
100,989,5.5,12946328
100,2410,3.863636,22028749
4464,2588,5.090909,1306639380
5627,633,2.636364,286733057
682,989,8.772727,73280920
3009,633,8.772727,216647472
391,3299,8.772727,148106999
4755,2766,1.409091,992153349
1264,1166,2.227273,103675140
1264,2233,1.818182,207236493
391,2766,6.318182,158703153
4755,633,3.045455,260268096
5627,2055,5.5,1427772732
3591,2055,9.181818,818393097
2136,989,1.409091,148320857
2136,1166,4.681818,254834574
1264,3832,5.5,604919512
2718,633,8.363636,253912868
2427,100,2.636364,21397668
5336,455,5.909091,308685567
1555,3655,4.272727,564578976
5336,3121,4.681818,1916836955
1555,633,7.545455,135451111
682,3832,9.590909,342012894
2427,2944,5.5,890066276
5627,3477,9.181818,2464005434
1555,2410,3.863636,352923852
1555,3832,5.090909,666737106
5045,1344,8.772727,845828466
100,1522,4.681818,18826740
5045,3655,9.590909,2188863247
5627,2588,7.954545,2252834204
4755,3832,3.045455,1751421761
973,455,6.318182,58495265
2136,633,7.545455,185193096
4464,2233,1.818182,873566224
391,1344,3.454545,48908294
100,3121,8.772727,37771944
5918,1877,2.636364,962005835
1845,633,3.045455,102869808
4173,2944,2.636364,1139067364
5336,633,1.409091,239671842
973,2410,8.772727,252532280
2427,3655,1.409091,683300583
4755,1877,3.454545,810049152
5627,1166,5.909091,808359811
1555,2233,1,223739704
100,2944,8.363636,55042339
3882,2055,7.545455,1087965104
2136,3477,8.772727,890438421
391,3299,4.272727,138467313
5045,1522,2.636364,623932675
5918,989,8.772727,659832581
2427,2410,9.181818,689261228
1555,1344,1,127465725
3300,2588,3.045455,784471046
3591,100,6.727273,52026648
5627,3655,8.772727,2630464232
2718,3299,2.227273,751217366
5627,3477,5.090909,2354829882
3882,2588,3.045455,910210548
4464,3477,3.045455,1457189761
391,989,1,23662461
1845,3655,5.090909,721047973
1264,2410,6.318182,370305274
3591,3299,5.090909,1496175374
4464,3299,3.045455,1334772441
391,3121,6.727273,152847020
1264,1700,4.681818,223620861
682,1344,8.772727,104957429
3009,2055,7.954545,873131401
973,2410,4.272727,257589855
5045,1700,6.318182,1115358434
2136,455,3.045455,78624937
4464,3121,7.954545,2144906958
1264,278,7.954545,52026034
3009,1877,8.772727,645610654
2136,1700,1,275876956
5918,455,8.772727,301397525
682,278,1.409091,14944973
2718,2055,9.181818,630290274
2718,633,8.772727,195821715
2136,989,5.909091,253423871
1845,3832,1,458903715
4464,3477,6.727273,2153070869
100,278,7.954545,7161398
4755,278,5.5,139975748
1264,2055,9.181818,294670310
391,1344,6.727273,70540776
4173,100,2.636364,39117213
973,1700,5.909091,194486313
5627,2766,3.454545,1526039681
3300,3832,1,878463841
4464,989,8.363636,674389238
3300,455,4.681818,211664395
100,455,1,4326998
2718,278,5.909091,84260175
5627,2766,4.681818,1754500581
3591,3832,2.636364,1156747905
3882,2766,6.318182,1439111857
4173,3655,9.590909,1960243581
3009,100,4.681818,30861564
3882,633,5.090909,255941816
973,2944,5.909091,323741679
2718,455,9.181818,136973552
973,633,9.181818,100514427
2718,3832,6.727273,1440420678
5336,3299,1.409091,1377164138
4755,3832,5.909091,2246185143
5336,455,3.045455,214497244
391,3121,3.045455,95769927
391,2233,1.818182,53360072
3300,3121,2.636364,894659077
2136,3832,7.545455,1171784395
3591,3655,8.772727,1600265228
4755,2055,3.454545,884764957
3591,811,1,190287109
2718,989,1.818182,187794359
682,3655,1.409091,143146655
2427,1877,1.818182,332250701
5627,2233,1.818182,996847869
4464,2055,1.818182,715251610
391,633,9.181818,28264452
2136,1344,1.409091,217430888
3882,3832,8.772727,1753439745
3300,1877,1.409091,435443034
1555,989,9.590909,167837820
1264,3655,9.181818,567973793
4755,3477,5.909091,2061562385
100,3655,1.818182,25364338
1555,1700,2.636364,202152609
2718,2944,5.090909,859170241
4464,3655,1,1242984130
4173,811,5.909091,487297956
682,3299,2.636364,192814576
3009,455,5.5,153891862
2136,3477,9.181818,871930995
3882,633,1,210961475
3591,2410,7.545455,1217991141
5918,633,9.590909,474784215
2718,1522,5.909091,508149162
2718,2766,3.454545,740954931
4464,811,3.454545,395267094
2427,633,4.272727,185220561
1845,1877,2.227273,265708761
973,1344,1.818182,88033215
2718,811,1.818182,154730283
1264,3121,7.545455,537736381
1264,278,3.454545,36330114
2136,1344,5.090909,325672235
2427,1700,2.227273,322079551
2427,278,7.545455,96222941
5336,989,9.181818,659703838
4464,3477,4.272727,1713172129
4464,3121,8.772727,1766949396
391,3477,3.863636,141572795
3300,3299,3.045455,961938976
3882,1877,1.818182,574504204
4755,1700,5.090909,923089665
2136,2588,1,356675554
2427,2233,1.409091,387985852
5336,2944,8.772727,1874861134
3009,1877,9.181818,788340974
3591,1877,7.954545,969500635
4755,2233,5.909091,1326210623
1555,2233,4.681818,373513912
5045,1166,7.954545,854000934
3882,1166,9.590909,532079022
973,2766,5.5,298035031
2136,2588,8.772727,654193040
4755,2766,5.5,1590172533
5627,3832,7.545455,3234405986
4755,3299,6.727273,2117269923
2136,1877,5.909091,475657257
2718,3832,5.090909,1186691012
4464,100,9.181818,52792902
2136,455,4.681818,102092964
4755,3832,7.545455,2765840802
100,3655,5.090909,55976925
5918,1877,7.545455,1643424928
2427,2233,8.363636,849801067
3300,2055,8.772727,824734688
4755,100,4.272727,48586094
682,2588,6.318182,207017156
5627,3655,6.727273,2826117113
5045,1166,7.545455,876414485
5627,2944,4.272727,1855573862
2427,1344,3.863636,317982647
973,2055,4.272727,195096222
4464,2944,6.727273,1795392098
973,1877,8.772727,226564114
1555,2588,5.090909,464937752
4755,455,7.136364,333858840
4464,3832,7.545455,2505676531
4755,1877,3.045455,790267516
3009,989,7.954545,425455074
3009,1877,2.636364,452961156
100,2588,2.227273,18956531
5627,1700,2.227273,827533633
5627,3121,2.636364,1670095090
3591,1522,7.545455,767454691
682,3477,6.727273,301955362
4464,278,7.545455,167620837
1264,3655,3.454545,411412200
100,3121,7.954545,51725093
3591,3121,9.181818,1317668555
682,455,5.909091,36393432
2136,278,8.363636,87688703
1555,1700,9.181818,300055994
1555,633,6.727273,130160185
2718,633,1.409091,113449776
5045,1700,3.863636,822076652
1555,1700,6.727273,322404661
973,633,9.590909,68029614
2718,1877,3.454545,452819575
3300,989,4.272727,347250924
682,633,7.136364,55959156
2427,1344,5.909091,413056311
1845,3121,6.318182,752329706
3009,3655,1.818182,865243059
391,278,3.863636,13073946
973,1522,2.227273,110952879
100,3655,1,24377030
973,1877,4.272727,192859803
2136,1522,2.227273,247791637
682,1166,3.045455,69851037
391,1522,9.181818,73288557
2718,989,8.772727,302827745
973,100,2.636364,8690872
5045,1700,8.363636,1319131705
1555,3121,6.727273,619376917
5336,1700,9.181818,1056294714
5627,3121,3.045455,1697747913
3009,811,3.045455,254345498
4173,1344,9.590909,697274370
391,2410,5.909091,102435400
3882,3655,8.363636,2207407593
3882,100,8.363636,65432105
3300,2233,6.318182,954919981
4464,100,3.045455,40261016
5918,2588,1,1200680030
2136,3299,7.954545,1084361019
3009,3655,7.954545,1670943296
2718,1700,1.818182,339730639
5627,633,5.5,415697709
4464,2588,8.363636,1791725706
4464,100,7.136364,60336693
4173,3299,5.090909,1537507713
1555,3121,5.5,619380269
3882,989,9.590909,440060262
391,633,7.545455,34738502
5627,100,7.545455,81650629
2718,100,8.772727,61841876
3300,278,2.636364,68819782
5918,2410,1.818182,1201164731
5918,989,5.5,720510716
3300,2410,8.363636,1217034223
2427,2055,8.363636,716345800
2718,3477,1.818182,779957604
391,3655,7.954545,201552723
1555,3121,3.863636,491164385
2136,100,5.090909,22910853
100,2588,5.909091,33855308
3300,811,8.363636,409898897
4173,1700,3.863636,723486935
100,455,5.909091,7293937
5045,3832,7.545455,2951191198
5918,811,3.045455,454549091
3591,1522,8.363636,835930361
2427,1344,5.5,368531859
391,3832,2.636364,136374032
3009,811,4.681818,247538873
3009,278,8.772727,90004782
3591,3121,3.863636,1149711783
3591,1166,2.227273,322942474
3882,1877,3.454545,682758883
2136,1344,2.636364,235165634
2427,989,1.818182,164428059
973,3299,2.227273,232627640
1845,633,3.454545,103266782
682,2944,4.272727,192681148
5336,1166,9.181818,713915430
4755,3477,5.5,1973470487
2136,2588,3.045455,489410797
4464,2766,7.545455,1718580837
5045,3655,1.409091,1450055251
5627,1700,6.727273,1255718576
3300,1344,7.136364,585847498
1555,2233,2.227273,255635129
2427,2766,7.136364,947340245
2718,1700,3.454545,434460679
3882,455,5.090909,181019740
5627,1344,8.772727,852541912
1845,2766,8.772727,628938792
973,989,1.409091,69200944
4464,278,3.045455,95647091
4755,2944,3.454545,1421188547
1264,2944,1.409091,245710277
2718,3477,9.590909,1125201998
5336,100,4.681818,86129833
391,455,8.363636,29726795
4755,2233,6.727273,1529187372
3300,2055,1.409091,504417540
5918,455,1.818182,204998260
391,2766,7.954545,176855246
100,455,5.090909,6357496
5336,3299,1,1379086316
4173,100,9.590909,52971308
5336,3832,4.272727,2311607805
5045,1344,7.545455,952666725
5336,2766,7.545455,2216960432
3591,1522,3.454545,496673846
3009,3832,2.227273,977221646
5045,3655,6.318182,2420220551
2136,455,1,59441247
3882,455,4.681818,177867428
3882,3832,1,1147747415
100,1700,6.318182,23439783
2718,1344,2.227273,296996365
1264,811,1,62066077
3300,2410,9.181818,936903070
973,811,9.181818,86560392
5336,3121,3.454545,1650411766
682,455,8.363636,44997467
391,1166,4.272727,61338655
3009,3832,3.454545,1086109795
5045,455,3.863636,265118487
973,2766,8.363636,429762810
3300,2766,4.272727,977058473
5627,455,7.136364,381474494
1845,278,1,29919978
3009,1344,5.5,493600662
5336,278,1.818182,96759219
4173,3477,4.272727,1575391764
4464,3299,5.909091,1828131763
1264,1877,1.409091,179100140
5918,278,3.863636,141798706
4173,811,3.045455,298142643
5918,811,4.272727,533676889
3009,2055,2.636364,528120951
5627,1522,9.181818,962231291
682,3299,1.409091,136234702
4755,2055,5.909091,1246476628
2427,2766,4.681818,709448610
4755,2233,9.590909,1227549219
100,1877,9.181818,21742257
3300,278,1.409091,55648247
973,2766,3.454545,278090009
391,1700,3.863636,60311820
2427,2588,5.909091,739564437
1845,278,1.818182,34896897
5918,1877,3.454545,1076501142
682,3477,1.409091,139126660
5045,3832,9.181818,2339614207
3009,633,5.5,215656835
1845,2055,3.454545,334227421
2718,2588,5.5,882162090
973,2233,8.363636,311757523
5336,3477,9.590909,2425991769
4173,100,7.136364,57054985
2136,2766,7.545455,802541730
1264,3299,7.545455,586988924
3591,1877,5.090909,715422488
4755,2410,6.727273,1552595434
5627,2944,9.181818,1920609899
3591,2055,8.772727,831546811
1845,3832,1.409091,497340466
2427,811,4.272727,196141408
2136,2944,1,453623158
973,2055,1.818182,136324826
682,455,8.772727,33141601
1264,989,1.409091,84496878
973,2410,1,149553438
3009,3655,5.5,1382996505
2718,455,6.727273,152448374
3882,811,7.545455,466321948
1264,2588,1.409091,212454062
2136,2055,1,284052154
1555,633,5.909091,114060360
4755,1344,5.090909,684507682
3009,3299,9.590909,1124122207
5045,2055,5.909091,1279613148
973,455,7.545455,69866949
2136,2766,4.272727,597420540
2136,811,6.727273,215589870
682,633,3.454545,38936797
1555,3832,2.636364,512805137
4755,1344,5.909091,756455543
3882,2766,4.681818,1180584214
5336,100,3.863636,47717178
3882,3299,6.318182,1711819475
5627,1522,8.363636,1275526068
4755,2410,9.181818,1314509945
3009,989,5.909091,354211257
5336,455,8.363636,352677170
3591,455,1.818182,113663302
4755,633,9.181818,377551789
2718,278,7.136364,99872924
5918,633,1,245027350
3882,1166,3.454545,409839167
5045,3121,7.954545,2420825105
5045,2766,5.5,1692738610
3882,100,5.909091,47600722
682,989,4.272727,63590298
2718,3832,5.909091,1235275994
5627,3832,9.590909,2704412199
5918,1344,4.681818,862070679
3591,1522,5.090909,597796614
3882,1522,7.954545,923892234
1264,100,7.136364,20138383
1555,2766,9.181818,488078258
3591,3655,7.136364,1798363477
5918,1700,2.227273,839340454
2718,3832,7.545455,1435936762
2136,3655,3.454545,747309018
682,3655,3.045455,199954515
1264,1522,3.454545,170463962
5627,1344,1.409091,555534543
3591,2588,1,641392609
4173,2588,5.090909,1192878309
2427,455,7.954545,159169715
5045,989,1,316391587
5045,633,5.909091,439469228
2136,100,4.272727,21027342
3882,3655,7.136364,2178963502
2718,3477,7.136364,1298195211
1555,2944,7.136364,589705787
4173,989,3.454545,430757096
1845,1166,9.590909,243072682
1845,989,6.318182,217965680
1845,3832,3.454545,677066928
3009,633,4.272727,218000822
1555,3121,7.545455,681389499
1264,100,2.227273,10057205
5627,811,9.181818,530524505
4755,1166,9.181818,645862169
4464,811,4.272727,367064105
3882,1166,2.636364,377457088
3882,3299,5.909091,1562413401
5336,2944,9.181818,1940888284
3591,3832,4.681818,1506214794
5918,811,5.909091,629678295
5336,2233,3.045455,1086823846
4755,1522,8.772727,860055773
1845,3121,7.545455,800977281
4173,1877,3.045455,677987482
3009,2944,2.227273,729211282
973,2233,7.545455,300996260
4755,1344,2.227273,505075250
2136,3477,2.227273,642254120
1264,3832,4.681818,507088412
4464,278,2.227273,79649221
2718,1344,4.681818,380306642
2718,2944,3.454545,740872562
1555,2055,3.863636,318552665
2136,989,6.318182,270305946
2136,3832,1.409091,610712146
100,1522,5.909091,19161228
1555,2410,7.545455,592393576
4464,278,1,64293324
4464,1344,2.636364,497233965
391,1166,3.045455,35115836
4464,2410,3.454545,1022854851
3882,1877,9.590909,855865368
1845,1166,8.363636,345767887
973,1166,8.772727,122781958
